행정동_ID,행정동_명칭,월,버스_승객_수_07시,버스_승객_수_08시,출근_시간_버스_승객_수,출근_시간_평일_일평균_승객수
11010530,사직동,03,25276.0,34074.0,59350.0,2826.190476190476
11010540,삼청동,03,2500.0,3757.0,6257.0,297.95238095238096
11010550,부암동,03,15128.0,17448.0,32576.0,1551.2380952380952
11010560,평창동,03,18781.0,16320.0,35101.0,1671.4761904761904
11010570,무악동,03,1713.0,2041.0,3754.0,178.76190476190476
11010580,교남동,03,12374.0,13623.0,25997.0,1237.952380952381
11010600,가회동,03,4036.0,5033.0,9069.0,431.85714285714283
11010610,"종로1,2,3,4가동",03,41637.0,72080.0,113717.0,5415.0952380952385
11010630,"종로5,6가동",03,7052.0,12952.0,20004.0,952.5714285714286
11010640,이화동,03,18025.0,29399.0,47424.0,2258.285714285714
11010670,창신1동,03,8632.0,13475.0,22107.0,1052.7142857142858
11010680,창신2동,03,192.0,245.0,437.0,20.80952380952381
11010690,창신3동,03,3108.0,3136.0,6244.0,297.3333333333333
11010700,숭인1동,03,5060.0,8447.0,13507.0,643.1904761904761
11010710,숭인2동,03,8033.0,12400.0,20433.0,973.0
11010720,청운효자동,03,10627.0,12111.0,22738.0,1082.7619047619048
11010730,혜화동,03,21220.0,28110.0,49330.0,2349.0476190476193
11020520,소공동,03,13761.0,24024.0,37785.0,1799.2857142857142
11020540,회현동,03,26287.0,41591.0,67878.0,3232.285714285714
11020550,명동,03,23074.0,33503.0,56577.0,2694.1428571428573
11020570,필동,03,4810.0,8323.0,13133.0,625.3809523809524
11020580,장충동,03,2491.0,5253.0,7744.0,368.76190476190476
11020590,광희동,03,8406.0,14888.0,23294.0,1109.2380952380952
11020600,을지로동,03,1797.0,2877.0,4674.0,222.57142857142858
11020650,신당5동,03,5266.0,8373.0,13639.0,649.4761904761905
11020670,황학동,03,6462.0,7662.0,14124.0,672.5714285714286
11020680,중림동,03,7661.0,10363.0,18024.0,858.2857142857143
11020690,신당동,03,5162.0,6551.0,11713.0,557.7619047619048
11020700,다산동,03,7064.0,9446.0,16510.0,786.1904761904761
11020710,약수동,03,7281.0,8708.0,15989.0,761.3809523809524
11020720,청구동,03,2177.0,3227.0,5404.0,257.3333333333333
11020730,동화동,03,2423.0,2284.0,4707.0,224.14285714285714
11030510,후암동,03,13367.0,16281.0,29648.0,1411.8095238095239
11030520,용산2가동,03,17296.0,23830.0,41126.0,1958.3809523809523
11030530,남영동,03,29380.0,41389.0,70769.0,3369.9523809523807
11030570,원효로2동,03,15586.0,17058.0,32644.0,1554.4761904761904
11030580,효창동,03,9201.0,14464.0,23665.0,1126.904761904762
11030590,용문동,03,5914.0,6020.0,11934.0,568.2857142857143
11030630,이촌1동,03,8726.0,9895.0,18621.0,886.7142857142857
11030640,이촌2동,03,7453.0,6673.0,14126.0,672.6666666666666
