행정동_ID,행정동_명칭,월,버스_승객_수_18시,버스_승객_수_19시,퇴근_시간_버스_승객_수,퇴근_시간_평일_일평균_승객수
11010530,사직동,03,76529.0,41822.0,118351.0,5635.761904761905
11010540,삼청동,03,9956.0,6220.0,16176.0,770.2857142857143
11010550,부암동,03,24087.0,13135.0,37222.0,1772.4761904761904
11010560,평창동,03,14457.0,9064.0,23521.0,1120.047619047619
11010570,무악동,03,3740.0,3086.0,6826.0,325.04761904761904
11010580,교남동,03,21922.0,15133.0,37055.0,1764.5238095238096
11010600,가회동,03,4439.0,2154.0,6593.0,313.95238095238096
11010610,"종로1,2,3,4가동",03,155870.0,98097.0,253967.0,12093.666666666666
11010630,"종로5,6가동",03,30181.0,17895.0,48076.0,2289.3333333333335
11010640,이화동,03,26861.0,15215.0,42076.0,2003.6190476190477
11010670,창신1동,03,14460.0,11593.0,26053.0,1240.6190476190477
11010680,창신2동,03,188.0,271.0,459.0,21.857142857142858
11010690,창신3동,03,1921.0,2046.0,3967.0,188.9047619047619
11010700,숭인1동,03,12262.0,10324.0,22586.0,1075.5238095238096
11010710,숭인2동,03,7544.0,4798.0,12342.0,587.7142857142857
11010720,청운효자동,03,13411.0,7912.0,21323.0,1015.3809523809524
11010730,혜화동,03,30823.0,23458.0,54281.0,2584.809523809524
11020520,소공동,03,100260.0,54544.0,154804.0,7371.619047619048
11020540,회현동,03,63294.0,40851.0,104145.0,4959.285714285715
11020550,명동,03,50429.0,32147.0,82576.0,3932.190476190476
11020570,필동,03,10759.0,6798.0,17557.0,836.047619047619
11020580,장충동,03,9826.0,5792.0,15618.0,743.7142857142857
11020590,광희동,03,23522.0,16911.0,40433.0,1925.3809523809523
11020600,을지로동,03,9491.0,6029.0,15520.0,739.047619047619
11020650,신당5동,03,12572.0,10893.0,23465.0,1117.3809523809523
11020670,황학동,03,5102.0,4154.0,9256.0,440.76190476190476
11020680,중림동,03,11323.0,6624.0,17947.0,854.6190476190476
11020690,신당동,03,5359.0,4549.0,9908.0,471.8095238095238
