,행정동별,자치구의 주거지역 면적,자치구의 주거지역 비율,자치구의 상업지역 면적,자치구의 상업지역 비율
205,천연동,849386.91,4.8,15685.72,0.09
206,홍제1동,1077057.63,6.09,19890.14,0.11
207,홍제2동,919439.44,5.2,16979.39,0.1
208,홍제3동,709281.85,4.01,13098.38,0.07
209,홍은1동,1383537.44,7.82,25549.94,0.14
210,홍은2동,1803852.61,10.2,33311.94,0.19
211,남가좌1동,446584.87,2.53,8247.13,0.05
212,남가좌2동,674255.59,3.81,12451.55,0.07
213,북가좌1동,481611.13,2.72,8893.96,0.05
214,북가좌2동,735551.55,4.16,13583.51,0.08
215,충현동,980735.4,5.55,18111.35,0.1
216,북아현동,402802.04,2.28,7438.59,0.04
217,신촌동,2302976.88,13.02,42529.32,0.24
218,연희동,2670752.65,15.1,49321.08,0.28
220,용강동,467941.67,1.96,33340.22,0.14
221,대흥동,484653.87,2.03,34530.94,0.14
222,염리동,245112.3,1.03,17463.92,0.07
223,신수동,434517.27,1.82,30958.77,0.13
224,서교동,919171.14,3.85,65489.71,0.27
225,합정동,958166.28,4.01,68268.06,0.29
226,망원1동,629492.96,2.63,44850.53,0.19
227,망원2동,373239.19,1.56,26592.79,0.11
228,연남동,356526.99,1.49,25402.07,0.11
229,성산1동,445658.73,1.87,31752.59,0.13
230,성산2동,1153141.97,4.83,82159.82,0.34
231,상암동,4679416.7,19.59,333402.16,1.39
232,도화동,345385.52,1.45,24608.25,0.1
233,서강동,807756.45,3.38,57551.56,0.24
234,공덕동,562644.15,2.35,40087.64,0.17
235,아현동,423375.8,1.77,30164.96,0.13
237,목1동,1015316.3,5.81,64533.62,0.37
238,목2동,741684.96,4.25,47141.58,0.27
239,목3동,381643.72,2.18,24257.32,0.14
240,목4동,410447.01,2.35,26088.06,0.15
241,목5동,1303349.29,7.46,82841.03,0.47
242,신월1동,468053.61,2.68,29749.54,0.17
243,신월2동,439250.31,2.51,27918.8,0.16
244,신월3동,626471.76,3.59,39818.62,0.23
245,신월4동,374442.89,2.14,23799.63,0.14
246,신월5동,496856.91,2.84,31580.28,0.18
247,신월6동,295233.82,1.69,18765.09,0.11
248,신월7동,856898.15,4.9,54464.54,0.31
249,신정1동,504057.74,2.89,32037.97,0.18
250,신정2동,374442.89,2.14,23799.63,0.14
251,신정4동,727283.31,4.16,46226.21,0.26
252,신정3동,1958624.35,11.21,124490.38,0.71
253,신정6동,691279.18,3.96,43937.78,0.25
254,신정7동,871299.8,4.99,55379.91,0.32
256,염창동,617693.12,1.49,55706.28,0.13
257,등촌1동,227197.47,0.55,20489.67,0.05
258,등촌2동,326596.36,0.79,29453.89,0.07
259,등촌3동,280446.87,0.68,25291.93,0.06
260,화곡본동,347896.12,0.84,31374.8,0.08
261,화곡2동,159748.22,0.39,14406.8,0.03
262,화곡3동,188147.9,0.45,16968.0,0.04
263,화곡4동,291096.76,0.7,26252.38,0.06
264,화곡6동,394045.61,0.95,35536.76,0.09
265,화곡8동,188147.9,0.45,16968.0,0.04
266,가양1동,1668481.4,4.02,150470.98,0.36
267,가양2동,354996.04,0.86,32015.1,0.08
268,가양3동,177498.02,0.43,16007.55,0.04
269,발산1동,1043688.37,2.52,94124.4,0.23
270,공항동,3858806.99,9.31,348004.16,0.84
271,방화1동,525394.14,1.27,47382.35,0.11
272,방화2동,2275524.64,5.49,205216.81,0.49
273,방화3동,905239.91,2.18,81638.51,0.2
274,화곡1동,397595.57,0.96,35856.91,0.09
275,우장산동,482794.62,1.16,43540.54,0.1
277,신도림동,750501.91,3.73,37740.87,0.19
278,구로1동,520525.95,2.59,26175.95,0.13
279,구로2동,898343.6,4.46,45175.46,0.22
280,구로3동,520525.95,2.59,26175.95,0.13
281,구로4동,235109.35,1.17,11823.06,0.06
282,구로5동,525659.34,2.61,26434.1,0.13
283,고척1동,592393.44,2.94,29789.99,0.15
284,고척2동,520525.95,2.59,26175.95,0.13
285,개봉2동,408618.0,2.03,20548.38,0.1
286,개봉3동,413751.4,2.05,20806.53,0.1
287,오류1동,300816.77,1.49,15127.33,0.08
288,오류2동,1632418.66,8.11,82090.27,0.41
289,수궁동,1362402.24,6.77,68511.82,0.34
290,가리봉동,204309.0,1.01,10274.19,0.05
291,개봉1동,668367.64,3.32,33610.54,0.17
292,항동,714568.17,3.55,35933.85,0.18
294,가산동,1130843.22,8.69,29210.57,0.22
295,독산1동,937986.24,7.21,24228.92,0.19
296,독산2동,269415.36,2.07,6959.21,0.05
297,독산3동,413181.48,3.18,10672.8,0.08
298,독산4동,264740.04,2.03,6838.44,0.05
299,시흥1동,767337.03,5.9,19820.92,0.15
300,시흥2동,565713.82,4.35,14612.83,0.11
301,시흥3동,480389.21,3.69,12408.83,0.1
302,시흥4동,390389.29,3.0,10084.06,0.08
303,시흥5동,624155.33,4.8,16122.42,0.12
305,여의동,2739269.08,11.25,894834.04,3.67
306,당산1동,244577.6,1.0,79895.9,0.33
307,당산2동,505460.37,2.08,165118.19,0.68
308,양평1동,286971.05,1.18,93744.52,0.38
309,양평2동,978310.39,4.02,319583.58,1.31
310,신길1동,215228.29,0.88,70308.39,0.29
311,신길3동,169573.8,0.7,55394.49,0.23
312,신길4동,123919.32,0.51,40480.59,0.17
313,신길5동,153268.63,0.63,50068.09,0.21
314,신길6동,211967.25,0.87,69243.11,0.28
315,신길7동,208706.22,0.86,68177.83,0.28
316,대림1동,159790.7,0.66,52198.65,0.21
317,대림2동,179356.9,0.74,58590.32,0.24
318,대림3동,309798.29,1.27,101201.47,0.42
319,영등포본동,332625.53,1.37,108658.42,0.45
320,영등포동,410890.36,1.69,134225.11,0.55
321,도림동,290232.08,1.19,94809.8,0.39
322,문래동,485894.16,1.99,158726.51,0.65
324,노량진2동,538950.26,3.29,14108.05,0.09
325,상도1동,1271585.77,7.76,33286.18,0.2
326,상도2동,825267.58,5.04,21602.95,0.13
327,상도3동,505265.87,3.08,13226.3,0.08
328,상도4동,631582.33,3.85,16532.87,0.1
329,사당1동,665266.73,4.06,17414.62,0.11
330,사당3동,774741.0,4.73,20280.32,0.12
331,사당4동,320001.72,1.95,8376.65,0.05
332,사당5동,480002.57,2.93,12564.98,0.08
333,대방동,1305270.16,7.97,34167.93,0.21
334,신대방1동,522108.06,3.19,13667.17,0.08
335,신대방2동,867373.07,5.29,22705.14,0.14
336,흑석동,1414744.43,8.63,37033.63,0.23
337,노량진1동,1330533.45,8.12,34829.25,0.21
338,사당2동,2315801.89,14.13,60620.52,0.37
340,보라매동,393843.77,1.33,10121.42,0.03
341,청림동,155464.65,0.53,3995.3,0.01
342,행운동,373115.15,1.26,9588.71,0.03
343,낙성대동,1176349.16,3.98,30231.07,0.1
344,중앙동,202104.04,0.68,5193.88,0.02
345,인헌동,559672.73,1.89,14383.07,0.05
346,남현동,1694564.65,5.73,43548.73,0.15
347,서원동,336840.07,1.14,8656.47,0.03
348,신원동,285018.52,0.96,7324.71,0.02
349,서림동,513033.33,1.74,13184.48,0.04
350,신사동,331657.91,1.12,8523.3,0.03
351,신림동,279836.36,0.95,7191.53,0.02
352,난향동,414572.39,1.4,10654.12,0.04
353,조원동,347204.38,1.17,8922.83,0.03
354,대학동,4301188.56,14.55,110536.52,0.37
355,은천동,404208.08,1.37,10387.77,0.04
356,성현동,352386.53,1.19,9056.0,0.03
357,청룡동,611494.28,2.07,15714.83,0.05
358,난곡동,497486.87,1.68,12784.95,0.04
359,삼성동,1378453.2,4.66,35424.96,0.12
360,미성동,715137.37,2.42,18378.36,0.06
362,서초1동,574583.73,1.23,40303.94,0.09
363,서초2동,501749.17,1.07,35194.99,0.07
364,서초3동,1185584.73,2.53,83162.35,0.18
365,서초4동,356080.06,0.76,24977.09,0.05
366,잠원동,712160.11,1.52,49954.17,0.11
367,반포본동,408682.79,0.87,28666.88,0.06
368,반포1동,404636.43,0.86,28383.05,0.06
369,반포2동,546259.18,1.16,38317.12,0.08
370,반포3동,517934.63,1.1,36330.31,0.08
371,반포4동,578630.09,1.23,40587.77,0.09
372,방배본동,271106.41,0.58,19016.65,0.04
373,방배1동,283245.5,0.6,19868.14,0.04
374,방배2동,780948.31,1.66,54779.29,0.12
375,방배3동,971127.43,2.07,68119.33,0.15
376,방배4동,396543.7,0.85,27815.39,0.06
377,양재1동,2330705.82,4.97,163486.39,0.35
378,양재2동,3067144.12,6.54,215143.54,0.46
379,내곡동,5130789.9,10.94,359897.11,0.77
381,신사동,1159333.66,2.94,93322.55,0.24
382,개포3동,760621.02,1.93,61227.5,0.16
383,논현1동,766755.06,1.94,61721.27,0.16
384,논현2동,901703.95,2.28,72584.21,0.18
385,삼성1동,1190003.86,3.01,95791.4,0.24
386,삼성2동,760621.02,1.93,61227.5,0.16
387,대치1동,484589.2,1.23,39007.84,0.1
388,대치2동,1226808.1,3.11,98754.03,0.25
389,대치4동,447784.96,1.13,36045.22,0.09
390,역삼1동,1441499.52,3.65,116035.98,0.29
391,역삼2동,705414.66,1.79,56783.56,0.14
392,도곡1동,625672.13,1.58,50364.55,0.13
393,도곡2동,625672.13,1.58,50364.55,0.13
394,개포1동,779023.14,1.97,62708.81,0.16
395,개포2동,1539644.17,3.9,123936.3,0.31
396,개포4동,913972.04,2.31,73571.75,0.19
397,일원본동,1582582.45,4.01,127392.69,0.32
398,일원1동,564331.73,1.43,45426.85,0.12
399,수서동,877167.79,2.22,70609.13,0.18
400,세곡동,3901249.76,9.88,314037.8,0.8
401,압구정동,1551912.25,3.93,124923.84,0.32
402,청담동,1429231.44,3.62,115048.44,0.29
404,풍납1동,488005.11,1.44,51977.61,0.15
405,풍납2동,1007698.87,2.98,107330.4,0.32
406,거여1동,323224.17,0.95,34426.73,0.1
407,거여2동,335899.62,0.99,35776.8,0.11
408,마천1동,367588.27,1.09,39151.97,0.12
409,마천2동,564057.86,1.67,60078.02,0.18
410,방이1동,316886.44,0.94,33751.7,0.1
411,방이2동,507018.3,1.5,54002.72,0.16
412,오륜동,2009060.01,5.93,213985.76,0.63
413,오금동,1045725.24,3.09,111380.6,0.33
414,송파1동,500680.57,1.48,53327.68,0.16
415,송파2동,335899.62,0.99,35776.8,0.11
416,석촌동,602084.23,1.78,64128.22,0.19
417,삼전동,602084.23,1.78,64128.22,0.19
418,가락본동,716163.35,2.12,76278.84,0.23
419,가락1동,849255.65,2.51,90454.55,0.27
420,가락2동,608421.96,1.8,64803.26,0.19
421,문정1동,354912.81,1.05,37801.9,0.11
422,문정2동,1394300.32,4.12,148507.47,0.44
423,장지동,868268.84,2.56,92479.65,0.27
424,위례동,1616120.83,4.77,172133.66,0.51
425,잠실본동,595746.5,1.76,63453.19,0.19
426,잠실2동,1381624.87,4.08,147157.4,0.43
427,잠실3동,944321.58,2.79,100580.06,0.3
428,잠실4동,988685.68,2.92,105305.3,0.31
429,잠실6동,1768226.32,5.22,188334.47,0.56
430,잠실7동,380263.72,1.12,40502.04,0.12
432,명일1동,321128.61,1.31,17388.62,0.07
433,명일2동,510647.13,2.08,27650.76,0.11
434,고덕1동,794924.92,3.24,43043.97,0.18
435,고덕2동,1316100.85,5.36,71264.84,0.29
436,암사1동,536969.15,2.19,29076.06,0.12
437,암사2동,621199.6,2.53,33637.01,0.14
438,암사3동,1321365.26,5.38,71549.9,0.29
439,천호1동,373772.64,1.52,20239.22,0.08
440,천호2동,826511.34,3.37,44754.32,0.18
441,천호3동,415887.87,1.69,22519.69,0.09
442,성내1동,305335.4,1.24,16533.44,0.07
443,성내2동,352715.03,1.44,19098.98,0.08
444,성내3동,373772.64,1.52,20239.22,0.08
445,길동,847568.95,3.45,45894.56,0.19
446,둔촌1동,484325.11,1.97,26225.46,0.11
447,둔촌2동,821246.93,3.34,44469.26,0.18
448,강일동,1189755.17,4.85,64423.42,0.26
449,상일1동,958121.42,3.9,51880.81,0.21
450,상일2동,573819.97,2.34,31071.47,0.13
