행정동_ID,행정동_명칭,월,버스_승객_수_18시,버스_승객_수_19시,퇴근_시간_버스_승객_수,퇴근_시간_평일_일평균_승객수
11010530,사직동,08,79021.0,43517.0,122538.0,5569.909090909091
11010540,삼청동,08,6038.0,3318.0,9356.0,425.27272727272725
11010550,부암동,08,14712.0,9879.0,24591.0,1117.7727272727273
11010560,평창동,08,13314.0,8200.0,21514.0,977.9090909090909
11010570,무악동,08,5259.0,3602.0,8861.0,402.77272727272725
11010580,교남동,08,37496.0,21391.0,58887.0,2676.681818181818
11010600,가회동,08,4996.0,2495.0,7491.0,340.5
11010610,"종로1,2,3,4가동",08,103946.0,65050.0,168996.0,7681.636363636364
11010630,"종로5,6가동",08,39306.0,22764.0,62070.0,2821.3636363636365
11010640,이화동,08,34228.0,20635.0,54863.0,2493.7727272727275
11010670,창신1동,08,21523.0,16896.0,38419.0,1746.3181818181818
11010680,창신2동,08,320.0,277.0,597.0,27.136363636363637
11010690,창신3동,08,1494.0,1272.0,2766.0,125.72727272727273
11010700,숭인1동,08,4191.0,3468.0,7659.0,348.1363636363636
11010710,숭인2동,08,35518.0,22204.0,57722.0,2623.7272727272725
11010720,청운효자동,08,13790.0,7526.0,21316.0,968.9090909090909
11010730,혜화동,08,26053.0,19513.0,45566.0,2071.181818181818
11020520,소공동,08,130793.0,66242.0,197035.0,8956.136363636364
11020540,회현동,08,63293.0,40612.0,103905.0,4722.954545454545
11020550,명동,08,105516.0,69145.0,174661.0,7939.136363636364
11020570,필동,08,17430.0,14917.0,32347.0,1470.3181818181818
11020580,장충동,08,11878.0,7924.0,19802.0,900.0909090909091
11020590,광희동,08,28064.0,19435.0,47499.0,2159.0454545454545
11020600,을지로동,08,32243.0,19863.0,52106.0,2368.4545454545455
11020650,신당5동,08,15858.0,12270.0,28128.0,1278.5454545454545
11020670,황학동,08,8452.0,6770.0,15222.0,691.9090909090909
11020680,중림동,08,28615.0,15803.0,44418.0,2019.0
11020690,신당동,08,5353.0,4676.0,10029.0,455.8636363636364
11020700,다산동,08,9648.0,7347.0,16995.0,772.5
