행정동_ID,행정동_명칭,월,버스_승객_수_07시,버스_승객_수_08시,출근_시간_버스_승객_수,출근_시간_평일_일평균_승객수
11010530,사직동,08,25289.0,37615.0,62904.0,2859.2727272727275
11010540,삼청동,08,1528.0,2176.0,3704.0,168.36363636363637
11010550,부암동,08,14103.0,16782.0,30885.0,1403.8636363636363
11010560,평창동,08,15827.0,14763.0,30590.0,1390.4545454545455
11010570,무악동,08,5234.0,6988.0,12222.0,555.5454545454545
11010580,교남동,08,19962.0,29358.0,49320.0,2241.818181818182
11010600,가회동,08,3629.0,4761.0,8390.0,381.3636363636364
11010610,"종로1,2,3,4가동",08,28954.0,50571.0,79525.0,3614.7727272727275
11010630,"종로5,6가동",08,8158.0,14849.0,23007.0,1045.7727272727273
11010640,이화동,08,20166.0,33535.0,53701.0,2440.9545454545455
11010670,창신1동,08,9832.0,15253.0,25085.0,1140.2272727272727
11010680,창신2동,08,128.0,287.0,415.0,18.863636363636363
11010690,창신3동,08,3048.0,3318.0,6366.0,289.3636363636364
11010700,숭인1동,08,3041.0,3996.0,7037.0,319.8636363636364
11010710,숭인2동,08,19011.0,30123.0,49134.0,2233.3636363636365
11010720,청운효자동,08,9556.0,11115.0,20671.0,939.5909090909091
11010730,혜화동,08,19237.0,24530.0,43767.0,1989.409090909091
11020520,소공동,08,17367.0,30481.0,47848.0,2174.909090909091
11020540,회현동,08,27960.0,44833.0,72793.0,3308.7727272727275
11020550,명동,08,30204.0,45936.0,76140.0,3460.909090909091
11020570,필동,08,5150.0,9173.0,14323.0,651.0454545454545
11020580,장충동,08,3070.0,5999.0,9069.0,412.22727272727275
11020590,광희동,08,8494.0,14259.0,22753.0,1034.2272727272727
11020600,을지로동,08,5474.0,10288.0,15762.0,716.4545454545455
11020650,신당5동,08,9219.0,12749.0,21968.0,998.5454545454545
11020670,황학동,08,9044.0,11958.0,21002.0,954.6363636363636
11020680,중림동,08,14499.0,22818.0,37317.0,1696.2272727272727
11020690,신당동,08,3936.0,5901.0,9837.0,447.1363636363636
11020700,다산동,08,8376.0,11591.0,19967.0,907.5909090909091
11020710,약수동,08,9126.0,11347.0,20473.0,930.5909090909091
11020720,청구동,08,2924.0,3992.0,6916.0,314.3636363636364
11020730,동화동,08,3275.0,3467.0,6742.0,306.45454545454544
11030510,후암동,08,12463.0,17763.0,30226.0,1373.909090909091
11030520,용산2가동,08,13198.0,19177.0,32375.0,1471.590909090909
11030530,남영동,08,31641.0,48612.0,80253.0,3647.8636363636365
11030570,원효로2동,08,16252.0,18203.0,34455.0,1566.1363636363637
11030580,효창동,08,11725.0,17494.0,29219.0,1328.1363636363637
11030590,용문동,08,9800.0,14067.0,23867.0,1084.8636363636363
11030630,이촌1동,08,8796.0,10481.0,19277.0,876.2272727272727
11030640,이촌2동,08,13173.0,14372.0,27545.0,1252.0454545454545
11030650,이태원1동,08,6076.0,10433.0,16509.0,750.4090909090909
11030660,이태원2동,08,7271.0,10597.0,17868.0,812.1818181818181
11030690,서빙고동,08,12487.0,15645.0,28132.0,1278.7272727272727
11030700,보광동,08,6417.0,8762.0,15179.0,689.9545454545455
11030710,청파동,08,9267.0,12264.0,21531.0,978.6818181818181
11030720,원효로1동,08,24932.0,35256.0,60188.0,2735.818181818182
11030730,한강로동,08,21270.0,35009.0,56279.0,2558.1363636363635
11030740,한남동,08,33429.0,47209.0,80638.0,3665.3636363636365
11040520,왕십리2동,08,5793.0,7047.0,12840.0,583.6363636363636
11040540,마장동,08,9317.0,11401.0,20718.0,941.7272727272727
11040550,사근동,08,6616.0,9050.0,15666.0,712.0909090909091
11040560,행당1동,08,13360.0,18895.0,32255.0,1466.1363636363637
11040570,행당2동,08,14868.0,16549.0,31417.0,1428.0454545454545
11040580,응봉동,08,12959.0,14968.0,27927.0,1269.409090909091
11040590,금호1가동,08,12596.0,14475.0,27071.0,1230.5
11040620,금호4가동,08,10877.0,14010.0,24887.0,1131.2272727272727
11040650,성수1가1동,08,4779.0,7046.0,11825.0,537.5
11040660,성수1가2동,08,2940.0,4783.0,7723.0,351.04545454545456
11040670,성수2가1동,08,13300.0,15928.0,29228.0,1328.5454545454545
11040680,성수2가3동,08,5281.0,10782.0,16063.0,730.1363636363636
11040690,송정동,08,4900.0,6367.0,11267.0,512.1363636363636
11040700,용답동,08,15806.0,22381.0,38187.0,1735.7727272727273
11040710,왕십리도선동,08,12033.0,17109.0,29142.0,1324.6363636363637
11040720,"금호2,3가동",08,9072.0,12548.0,21620.0,982.7272727272727
11040730,옥수동,08,7981.0,11185.0,19166.0,871.1818181818181
11050530,화양동,08,20186.0,32809.0,52995.0,2408.8636363636365
11050540,군자동,08,11614.0,14203.0,25817.0,1173.5
11050550,중곡1동,08,9189.0,12118.0,21307.0,968.5
11050560,중곡2동,08,17917.0,22302.0,40219.0,1828.1363636363637
11050570,중곡3동,08,11562.0,13490.0,25052.0,1138.7272727272727
11050580,중곡4동,08,5957.0,5906.0,11863.0,539.2272727272727
11050590,능동,08,5760.0,7300.0,13060.0,593.6363636363636
11050600,구의1동,08,13098.0,18347.0,31445.0,1429.3181818181818
11050610,구의2동,08,14978.0,18289.0,33267.0,1512.1363636363637
11050620,구의3동,08,6380.0,9187.0,15567.0,707.5909090909091
11050630,광장동,08,11508.0,14364.0,25872.0,1176.0
11050640,자양1동,08,9246.0,12830.0,22076.0,1003.4545454545455
11050650,자양2동,08,22783.0,29200.0,51983.0,2362.8636363636365
11050660,자양3동,08,10355.0,12050.0,22405.0,1018.4090909090909
11050670,자양4동,08,5370.0,7075.0,12445.0,565.6818181818181
11060710,회기동,08,7557.0,9949.0,17506.0,795.7272727272727
11060720,휘경1동,08,27935.0,39735.0,67670.0,3075.909090909091
11060730,휘경2동,08,19476.0,22891.0,42367.0,1925.7727272727273
11060800,청량리동,08,9943.0,12301.0,22244.0,1011.0909090909091
11060810,용신동,08,33556.0,46174.0,79730.0,3624.090909090909
11060820,제기동,08,15663.0,21060.0,36723.0,1669.2272727272727
11060830,전농1동,08,26454.0,33791.0,60245.0,2738.409090909091
11060840,전농2동,08,31760.0,38865.0,70625.0,3210.2272727272725
11060860,답십리2동,08,22571.0,23258.0,45829.0,2083.1363636363635
11060870,장안1동,08,23408.0,31312.0,54720.0,2487.2727272727275
11060880,장안2동,08,40323.0,39876.0,80199.0,3645.409090909091
11060890,이문1동,08,3624.0,4341.0,7965.0,362.04545454545456
11060900,이문2동,08,12862.0,14158.0,27020.0,1228.1818181818182
11060910,답십리1동,08,17424.0,21353.0,38777.0,1762.590909090909
11070520,면목2동,08,17444.0,19211.0,36655.0,1666.1363636363637
11070540,면목4동,08,12325.0,13925.0,26250.0,1193.1818181818182
11070550,면목5동,08,20035.0,20151.0,40186.0,1826.6363636363637
11070570,면목7동,08,15244.0,17927.0,33171.0,1507.7727272727273
11070590,상봉1동,08,16436.0,18467.0,34903.0,1586.5
11070600,상봉2동,08,15573.0,22139.0,37712.0,1714.1818181818182
11070610,중화1동,08,11978.0,17514.0,29492.0,1340.5454545454545
11070620,중화2동,08,19541.0,23492.0,43033.0,1956.0454545454545
11070640,묵1동,08,15635.0,20003.0,35638.0,1619.909090909091
11070650,묵2동,08,9433.0,12646.0,22079.0,1003.5909090909091
11070680,망우3동,08,18690.0,19131.0,37821.0,1719.1363636363637
11070690,신내1동,08,56494.0,58396.0,114890.0,5222.272727272727
11070700,신내2동,08,9580.0,10245.0,19825.0,901.1363636363636
11070710,면목본동,08,20046.0,25947.0,45993.0,2090.590909090909
11070720,"면목3,8동",08,11038.0,11616.0,22654.0,1029.7272727272727
11070730,망우본동,08,17899.0,19260.0,37159.0,1689.0454545454545
11080580,돈암1동,08,20080.0,26692.0,46772.0,2126.0
11080590,돈암2동,08,15190.0,15045.0,30235.0,1374.3181818181818
11080600,안암동,08,11149.0,15849.0,26998.0,1227.1818181818182
11080610,보문동,08,12824.0,19295.0,32119.0,1459.9545454545455
11080620,정릉1동,08,21049.0,23866.0,44915.0,2041.590909090909
11080630,정릉2동,08,35052.0,37208.0,72260.0,3284.5454545454545
11080640,정릉3동,08,2841.0,3514.0,6355.0,288.8636363636364
11080650,정릉4동,08,17007.0,17969.0,34976.0,1589.8181818181818
11080660,길음1동,08,31462.0,36120.0,67582.0,3071.909090909091
11080680,길음2동,08,10858.0,13224.0,24082.0,1094.6363636363637
11080710,월곡1동,08,22389.0,26824.0,49213.0,2236.9545454545455
11080720,월곡2동,08,5442.0,9064.0,14506.0,659.3636363636364
