동별,사업체수 (개),종사자수 (명),평균종사자 (명),사업체밀도,종사자밀도(A) (명/㎢),인구밀도(B),종사자밀도비(A/B*100)
사직동,4994,56046,11.22,4060.16,45565.85,7605.69,599.1
삼청동,970,5118,5.28,651.01,3434.9,1773.15,193.72
부암동,908,4140,4.56,400,1823.79,4200.88,43.41
평창동,1286,4294,3.34,144.98,484.1,2013.3,24.05
무악동,837,1987,2.37,2325,5519.44,22366.67,24.68
교남동,561,13335,23.77,1602.86,38100,28554.29,133.43
가회동,977,15449,15.81,1809.26,28609.26,7527.78,380.05
종로1.2.3.4가동,17095,106826,6.25,7274.47,45457.87,3702.13,1227.89
종로5.6가동,7545,21261,2.82,12575,35435,9695,365.5
이화동,1669,18939,11.35,2139.74,24280.77,9783.33,248.19
창신1동,2518,5506,2.19,8122.58,17761.29,17364.52,102.28
창신2동,1045,2021,1.93,4019.23,7773.08,33830.77,22.98
창신3동,430,1265,2.94,1869.57,5500,28721.74,19.15
숭인1동,727,1824,2.51,3160.87,7930.43,26334.78,30.11
숭인2동,2275,6126,2.69,6500,17502.86,30025.71,58.29
청운효자동,1469,5433,3.7,571.6,2114.01,4598.44,45.97
혜화동,2289,8833,3.86,2043.75,7886.61,17314.29,45.55
소공동,5127,66316,12.93,5396.84,69806.32,3766.32,1853.44
회현동,8865,48722,5.5,10553.57,58002.38,6216.67,933.01
명동,8484,108491,12.79,8569.7,109586.87,3674.75,2982.16
필동,3567,25108,7.04,3128.95,22024.56,4224.56,521.35
장충동,991,7975,8.05,728.68,5863.97,3916.18,149.74
광희동,9123,34882,3.82,12328.38,47137.84,9029.73,522.03
을지로동,9223,31496,3.41,15371.67,52493.33,3186.67,1647.28
신당5동,1571,3965,2.52,4028.21,10166.67,26956.41,37.72
황학동,2444,5594,2.29,7406.06,16951.52,40784.85,41.56
중림동,1279,7764,6.07,2664.58,16175,25704.17,62.93
신당동,11453,22982,2.01,20823.64,41785.45,16521.82,252.91
다산동,2107,8722,4.14,4131.37,17101.96,27360.78,62.51
약수동,1289,4696,3.64,2685.42,9783.33,34604.17,28.27
청구동,1295,5076,3.92,3808.82,14929.41,39561.76,37.74
동화동,1325,4359,3.29,5096.15,16765.38,39226.92,42.74
후암동,1310,4578,3.49,1523.26,5323.26,19548.84,27.23
용산2가동,789,2100,2.66,402.55,1071.43,5271.94,20.32
남영동,2055,18037,8.78,1726.89,15157.14,6346.22,238.84
원효로2동,1540,5985,3.89,2169.01,8429.58,19429.58,43.39
효창동,699,2350,3.36,1588.64,5340.91,24745.45,21.58
용문동,886,1962,2.21,3164.29,7007.14,41657.14,16.82
이촌1동,1419,3885,2.74,496.15,1358.39,8988.46,15.11
이촌2동,567,1212,2.14,464.75,993.44,6634.43,14.97
이태원1동,1843,6863,3.72,3233.33,12040.35,13942.11,86.36
이태원2동,1097,3159,2.88,1275.58,3673.26,12124.42,30.3
서빙고동,743,5396,7.26,265.36,1927.14,4806.43,40.1
보광동,1059,2143,2.02,1491.55,3018.31,19802.82,15.24
청파동,2231,10066,4.51,2478.89,11184.44,22036.67,50.75
원효로1동,2425,10190,4.2,4110.17,17271.19,30125.42,57.33
한강로동,6171,53485,8.67,2127.93,18443.1,7891.72,233.7
한남동,3213,20440,6.36,1067.44,6790.7,7326.91,92.68
왕십리2동,1212,2807,2.32,2956.1,6846.34,40702.44,16.82
