동별,사업체수 (개),종사자수 (명),평균종사자 (명),사업체밀도,종사자밀도(A) (명/㎢),인구밀도(B),종사자밀도비(A/B*100)
마장동,4037,12989,3.22,3844.76,12370.48,21624.76,57.21
사근동,1273,11318,8.89,1157.27,10289.09,12801.82,80.37
행당1동,1565,8820,5.64,2652.54,14949.15,23722.03,63.02
행당2동,956,2264,2.37,2276.19,5390.48,55114.29,9.78
응봉동,648,1188,1.83,1136.84,2084.21,26491.23,7.87
금호1가동,942,2363,2.51,2047.83,5136.96,32906.52,15.61
금호4가동,1016,2259,2.22,1209.52,2689.29,16938.1,15.88
성수1가1동,2955,15919,5.39,1500,8080.71,8328.43,97.03
성수1가2동,4989,27337,5.48,5605.62,30715.73,13844.94,221.86
성수2가1동,3443,19451,5.65,2942.74,16624.79,13432.48,123.77
성수2가3동,8635,64963,7.52,8383.5,63070.87,10213.59,617.52
송정동,967,2993,3.1,1289.33,3990.67,13952,28.6
용답동,2480,12372,4.99,1073.59,5355.84,5433.33,98.57
왕십리도선동,3308,11097,3.35,4594.44,15412.5,37365.28,41.25
금호2.3가동,1500,2953,1.97,2343.75,4614.06,35035.94,13.17
옥수동,1380,4807,3.48,711.34,2477.84,13321.13,18.6
화양동,3048,15339,5.03,2627.59,13223.28,23346.55,56.64
군자동,2473,9677,3.91,3341.89,13077.03,29086.49,44.96
중곡1동,2149,6746,3.14,3466.13,10880.65,25262.9,43.07
중곡2동,2302,7793,3.39,4185.45,14169.09,38792.73,36.53
중곡3동,1745,5939,3.4,2908.33,9898.33,26961.67,36.71
중곡4동,1806,4601,2.55,778.45,1983.19,12243.53,16.2
능동,1170,6045,5.17,1063.64,5495.45,10510,52.29
구의1동,2645,7370,2.79,4723.21,13160.71,42944.64,30.65
구의2동,1930,5884,3.05,1388.49,4233.09,19117.27,22.14
구의3동,3490,17842,5.11,3421.57,17492.16,27882.35,62.74
광장동,2156,13694,6.35,902.09,5729.71,14377.41,39.85
자양1동,2207,9860,4.47,3871.93,17298.25,39840.35,43.42
자양2동,2141,5994,2.8,1274.4,3567.86,14436.31,24.71
자양3동,1913,7087,3.7,1594.17,5905.83,23215,25.44
자양4동,2150,6046,2.81,1853.45,5212.07,18327.59,28.44
회기동,1348,11293,8.38,1773.68,14859.21,17810.53,83.43
휘경1동,1357,4214,3.11,2153.97,6688.89,25934.92,25.79
휘경2동,1737,6031,3.47,1654.29,5743.81,23491.43,24.45
청량리동,1887,8041,4.26,1572.5,6700.83,15911.67,42.11
용신동,6889,29330,4.26,4278.88,18217.39,22445.34,81.16
제기동,5243,12037,2.3,4443.22,10200.85,22444.07,45.45
전농1동,2971,7990,2.69,2496.64,6714.29,24554.62,27.34
전농2동,1317,5330,4.05,1531.4,6197.67,21661.63,28.61
답십리2동,2851,8187,2.87,3354.12,9631.76,33005.88,29.18
장안1동,6530,22708,3.48,5224,18166.4,30941.6,58.71
장안2동,3859,11850,3.07,3540.37,10871.56,29986.24,36.26
이문1동,1631,6700,4.11,1568.27,6442.31,20544.23,31.36
이문2동,1037,2412,2.33,1502.9,3495.65,29250.72,11.95
답십리1동,3834,9756,2.54,4733.33,12044.44,35222.22,34.2
면목2동,2505,6224,2.48,3253.25,8083.12,31436.36,25.71
면목4동,2689,5145,1.91,3090.8,5913.79,21547.13,27.45
면목5동,1222,3466,2.84,1745.71,4951.43,21194.29,23.36
면목7동,1942,4653,2.4,1618.33,3877.5,18165,21.35
상봉1동,2024,6686,3.3,2300,7597.73,26947.73,28.19
상봉2동,3487,9342,2.68,5364.62,14372.31,31710.77,45.32
중화1동,1595,4237,2.66,2492.19,6620.31,30145.31,21.96
중화2동,2574,6863,2.67,2548.51,6795.05,24679.21,27.53
묵1동,2341,5885,2.51,1950.83,4904.17,28620,17.14
묵2동,2368,4721,1.99,3534.33,7046.27,27797.01,25.35
망우3동,1510,4224,2.8,1641.3,4591.3,17720.65,25.91
신내1동,3435,16271,4.74,1341.8,6355.86,14923.83,42.59
신내2동,1536,7513,4.89,1651.61,8078.49,21672.04,37.28
면목본동,3373,7745,2.3,4015.48,9220.24,40304.76,22.88
면목3.8동,2869,8199,2.86,1760.12,5030.06,15102.45,33.31
망우본동,4850,13559,2.8,1600.66,4474.92,11849.83,37.76
돈암1동,710,2191,3.09,1448.98,4471.43,29538.78,15.14
돈암2동,970,3107,3.2,2020.83,6472.92,49285.42,13.13
안암동,1948,13977,7.18,1464.66,10509.02,12870.68,81.65
보문동,1865,6843,3.67,3330.36,12219.64,29842.86,40.95
정릉1동,1281,2575,2.01,2911.36,5852.27,41356.82,14.15
정릉2동,1482,3574,2.41,1266.67,3054.7,19582.05,15.6
정릉3동,1014,5781,5.7,273.32,1558.22,4465.5,34.89
정릉4동,1571,5100,3.25,501.92,1629.39,7958.79,20.47
길음1동,1683,4321,2.57,2130.38,5469.62,44303.8,12.35
길음2동,1700,5729,3.37,2931.03,9877.59,37462.07,26.37
월곡1동,1879,5642,3,2319.75,6965.43,32307.41,21.56
월곡2동,2148,10740,5,1579.41,7897.06,14513.97,54.41
장위1동,1649,3302,2,2355.71,4717.14,34402.86,13.71
장위2동,1510,3903,2.58,2253.73,5825.37,20331.34,28.65
장위3동,862,2118,2.46,1326.15,3258.46,24412.31,13.35
성북동,1792,6192,3.46,626.57,2165.03,5905.24,36.66
삼선동,2524,11818,4.68,2743.48,12845.65,25047.83,51.28
동선동,2622,10582,4.04,3591.78,14495.89,21739.73,66.68
종암동,2876,8754,3.04,1969.86,5995.89,27473.29,21.82
석관동,3076,9478,3.08,1778.03,5478.61,20413.29,26.84
번1동,2453,9763,3.98,3716.67,14792.42,28148.48,52.55
번2동,912,3692,4.05,960,3886.32,16207.37,23.98
번3동,1153,3359,2.91,1048.18,3053.64,14953.64,20.42
수유1동,1953,5784,2.96,1169.46,3463.47,12276.05,28.21
수유2동,1840,4646,2.53,3228.07,8150.88,36936.84,22.07
수유3동,3168,9842,3.11,4400,13669.44,33025,41.39
삼양동,1546,4098,2.65,1698.9,4503.3,25373.63,17.75
미아동,2297,7190,3.13,2469.89,7731.18,23317.2,33.16
송중동,2965,9122,3.08,2935.64,9031.68,29613.86,30.5
송천동,2573,7199,2.8,2858.89,7998.89,28886.67,27.69
삼각산동,1444,3154,2.18,2329.03,5087.1,49901.61,10.19
우이동,1582,5534,3.5,153.89,538.33,1985.12,27.12
인수동,2228,6476,2.91,679.27,1974.39,9120.73,21.65
쌍문1동,1406,4280,3.04,1133.87,3451.61,17294.35,19.96
쌍문2동,1674,5013,2.99,3100,9283.33,34187.04,27.15
쌍문3동,1332,5001,3.75,2664,10002,33868,29.53
쌍문4동,946,2147,2.27,1819.23,4128.85,35284.62,11.7
방학1동,2976,13765,4.63,4313.04,19949.28,41173.91,48.45
방학2동,1563,3052,1.95,2112.16,4124.32,26154.05,15.77
방학3동,1512,3522,2.33,577.1,1344.27,10114.5,13.29
창1동,2145,4124,1.92,2437.5,4686.36,27843.18,16.83
창2동,1990,4563,2.29,1895.24,4345.71,27578.1,15.76
창3동,1235,2195,1.78,1843.28,3276.12,20347.76,16.1
창4동,1860,7618,4.1,1957.89,8018.95,27495.79,29.16
창5동,2542,7388,2.91,3631.43,10554.29,34775.71,30.35
도봉1동,2034,7210,3.54,233.26,826.83,2364.91,34.96
도봉2동,1978,7740,3.91,2383.13,9325.3,31757.83,29.36
월계1동,1808,6469,3.58,1558.62,5576.72,18603.45,29.98
월계2동,1404,3867,2.75,723.71,1993.3,13436.08,14.84
월계3동,1519,4702,3.1,1298.29,4018.8,25114.53,16
공릉2동,2777,13128,4.73,407.18,1924.93,6237.24,30.86
하계1동,1587,8800,5.55,1023.87,5677.42,17407.74,32.61
하계2동,792,1716,2.17,1552.94,3364.71,42435.29,7.93
중계본동,1699,5989,3.53,862.44,3040.1,11917.26,25.51
중계1동,1469,4299,2.93,2331.75,6823.81,42190.48,16.17
중계4동,1454,4293,2.95,855.29,2525.29,11530,21.9
상계1동,4050,10593,2.62,720.64,1884.88,6736.12,27.98
상계2동,3346,10937,3.27,5485.25,17929.51,32178.69,55.72
상계5동,2719,6101,2.24,2692.08,6040.59,23501.98,25.7
상계8동,815,2077,2.55,1216.42,3100,33349.25,9.3
상계9동,1035,2761,2.67,1277.78,3408.64,24779.01,13.76
상계10동,809,2541,3.14,1011.25,3176.25,23096.25,13.75
상계3.4동,1967,4951,2.52,389.5,980.4,5014.65,19.55
상계6.7동,2784,16458,5.91,2508.11,14827.03,28868.47,51.36
중계2.3동,2047,5673,2.77,2274.44,6303.33,37218.89,16.94
공릉1동,3937,13843,3.52,2792.2,9817.73,26371.63,37.23
녹번동,2838,13292,4.68,1585.47,7425.7,20605.59,36.04
불광1동,2393,7006,2.93,764.54,2238.34,12225.24,18.31
갈현1동,1765,4933,2.79,1819.59,5085.57,17681.44,28.76
갈현2동,2311,6656,2.88,2407.29,6933.33,29350,23.62
구산동,2077,6849,3.3,1505.07,4963.04,23202.9,21.39
대조동,3364,7674,2.28,3957.65,9028.24,31602.35,28.57
응암1동,2690,8300,3.09,2241.67,6916.67,27732.5,24.94
응암2동,1400,2991,2.14,1794.87,3834.62,35917.95,10.68
신사1동,2002,5311,2.65,2383.33,6322.62,32123.81,19.68
신사2동,2220,4485,2.02,2220,4485,19497,23
증산동,1401,4382,3.13,1729.63,5409.88,23020.99,23.5
수색동,836,2734,3.27,648.06,2119.38,10240.31,20.7
진관동,3236,13637,4.21,280.66,1182.74,4773.11,24.78
불광2동,1875,4648,2.48,1358.7,3368.12,19768.12,17.04
응암3동,2410,5916,2.45,3825.4,9390.48,38592.06,24.33
역촌동,3612,8883,2.46,3113.79,7657.76,38779.31,19.75
천연동,1133,3379,2.98,1168.04,3483.51,17557.73,19.84
홍제1동,1575,5949,3.78,1280.49,4836.59,20060.16,24.11
홍제3동,1427,4036,2.83,1761.73,4982.72,22086.42,22.56
홍제2동,803,2263,2.82,764.76,2155.24,12793.33,16.85
홍은1동,1475,2997,2.03,933.54,1896.84,14446.2,13.13
홍은2동,2046,6628,3.24,993.2,3217.48,13349.03,24.1
남가좌1동,963,2783,2.89,1888.24,5456.86,33105.88,16.48
남가좌2동,2033,5877,2.89,2640.26,7632.47,39620.78,19.26
북가좌1동,1564,3803,2.43,2843.64,6914.55,32370.91,21.36
북가좌2동,2976,6099,2.05,3542.86,7260.71,37195.24,19.52
충현동,2865,22803,7.96,2558.04,20359.82,18139.29,112.24
북아현동,1195,2724,2.28,2597.83,5921.74,34510.87,17.16
신촌동,5125,37272,7.27,1948.67,14171.86,9940.3,142.57
연희동,3247,12995,4,1064.59,4260.66,12271.48,34.72
용강동,3991,19926,4.99,4751.19,23721.43,25935.71,91.46
대흥동,1938,9609,4.96,2227.59,11044.83,18594.25,59.4
염리동,1037,5052,4.87,2356.82,11481.82,40075,28.65
신수동,2258,6949,3.08,2894.87,8908.97,29066.67,30.65
서교동,12734,63225,4.97,7717.58,38318.18,16166.06,237.03
합정동,3916,13670,3.49,2276.74,7947.67,9920.93,80.11
망원1동,3051,6853,2.25,2700,6064.6,17484.07,34.69
망원2동,1984,4851,2.45,2961.19,7240.3,27535.82,26.29
연남동,3112,8720,2.8,4862.5,13625,24379.69,55.89
성산1동,2479,10128,4.09,3098.75,12660,23848.75,53.08
성산2동,3483,12889,3.7,1682.61,6226.57,19082.13,32.63
상암동,3848,49928,12.98,458.1,5943.81,3671.07,161.91
도화동,3036,19024,6.27,4896.77,30683.87,34061.29,90.08
서강동,2679,9684,3.61,1847.59,6678.62,17638.62,37.86
공덕동,3617,20120,5.56,3581.19,19920.79,37104.95,53.69
아현동,2353,14050,5.97,3096.05,18486.84,34452.63,53.66
목1동,3879,22768,5.87,2751.06,16147.52,21656.74,74.56
목2동,1997,5102,2.55,1938.83,4953.4,28777.67,17.21
목3동,1910,5418,2.84,3603.77,10222.64,40979.25,24.95
목4동,2029,4679,2.31,3559.65,8208.77,43891.23,18.7
신월1동,2163,5423,2.51,3327.69,8343.08,31296.92,26.66
신월2동,1575,4722,3,2581.97,7740.98,33719.67,22.96
신월3동,1387,5202,3.75,1594.25,5979.31,17165.52,34.83
신월4동,1561,3773,2.42,3001.92,7255.77,34034.62,21.32
신월5동,1298,4412,3.4,1881.16,6394.2,20957.97,30.51
신월6동,2067,3890,1.88,5041.46,9487.8,33697.56,28.16
신월7동,1659,5449,3.28,1394.12,4578.99,16133.61,28.38
신정1동,1526,6028,3.95,2180,8611.43,28517.14,30.2
신정2동,1558,4352,2.79,2996.15,8369.23,36544.23,22.9
신정3동,3383,10027,2.96,1243.75,3686.4,18598.16,19.82
신정6동,1016,7889,7.76,1058.33,8217.71,25158.33,32.66
신정7동,1898,6637,3.5,1568.6,5485.12,23619.01,23.22
목5동,2291,10551,4.61,1265.75,5829.28,22506.63,25.9
신정4동,4577,17493,3.82,4531.68,17319.8,32728.71,52.92
염창동,3239,15826,4.89,1861.49,9095.4,23924.14,38.02
등촌1동,2792,18157,6.5,4362.5,28370.31,39048.44,72.65
등촌2동,1219,3878,3.18,1325,4215.22,21581.52,19.53
등촌3동,3373,22196,6.58,4269.62,28096.2,38006.33,73.93
화곡본동,2046,4591,2.24,2087.76,4684.69,34817.35,13.46
화곡2동,1285,2883,2.24,2855.56,6406.67,39522.22,16.21
화곡3동,1769,4703,2.66,3337.74,8873.58,40760.38,21.77
화곡4동,1880,4173,2.22,2292.68,5089.02,25017.07,20.34
화곡6동,2404,13057,5.43,2165.77,11763.06,22795.5,51.6
화곡8동,1731,4037,2.33,3266.04,7616.98,46066.04,16.53
가양1동,10343,74453,7.2,2200.64,15841.06,7310.43,216.69
가양2동,859,3354,3.9,859,3354,13902,24.13
가양3동,1154,7316,6.34,2308,14632,29356,49.84
발산1동,7088,34449,4.86,2410.88,11717.35,12325.17,95.07
공항동,2792,34219,12.26,256.85,3148.02,2845.17,110.64
방화1동,3796,12715,3.35,2564.86,8591.22,28953.38,29.67
방화2동,3952,16550,4.19,616.54,2581.9,3646.02,70.81
방화3동,1267,4884,3.85,496.86,1915.29,8840.78,21.66
화곡1동,4125,10371,2.51,3683.04,9259.82,47006.25,19.7
우장산동,2546,7512,2.95,1872.06,5523.53,31531.62,17.52
신도림동,3761,16533,4.4,2558.5,11246.94,24583.67,45.75
구로1동,1192,3140,2.63,1168.63,3078.43,20525.49,15
구로3동,10727,95600,8.91,10516.67,93725.49,24563.73,381.56
구로4동,2439,6617,2.71,5302.17,14384.78,50113.04,28.7
구로5동,5737,26465,4.61,5569.9,25694.17,30815.53,83.38
고척1동,3228,10733,3.32,2782.76,9252.59,22100,41.87
고척2동,2285,5054,2.21,2240.2,4954.9,26036.27,19.03
개봉2동,1754,3866,2.2,2192.5,4832.5,38331.25,12.61
개봉3동,1408,8875,6.3,1738.27,10956.79,25001.23,43.82
오류1동,1752,5386,3.07,2969.49,9128.81,39196.61,23.29
수궁동,1782,6305,3.54,667.42,2361.42,8738.58,27.02
가리봉동,1170,4434,3.79,2925,11085,31632.5,35.04
구로2동,9562,31653,3.31,5432.95,17984.66,17098.3,105.18
개봉1동,2515,6013,2.39,1919.85,4590.08,26034.35,17.63
오류2동,2413,8308,3.44,754.06,2596.25,12040,21.56
항동,1263,3658,2.9,902.14,2612.86,11822.14,22.1
가산동,25533,182349,7.14,10132.14,72360.71,10543.25,686.32
독산1동,5691,25250,4.44,2722.97,12081.34,22762.2,53.08
독산2동,1549,4468,2.88,2581.67,7446.67,32603.33,22.84
독산3동,2583,6778,2.62,2807.61,7367.39,29607.61,24.88
독산4동,1366,3212,2.35,2315.25,5444.07,27850.85,19.55
시흥1동,4219,16226,3.85,2467.25,9488.89,19914.62,47.65
시흥2동,1072,2774,2.59,850.79,2201.59,16533.33,13.32
시흥3동,3779,9201,2.43,3531.78,8599.07,10000.93,85.98
시흥4동,1162,2223,1.91,1335.63,2555.17,23694.25,10.78
시흥5동,1484,3835,2.58,1067.63,2758.99,13843.17,19.93
여의동,17274,195009,11.29,2056.43,23215.36,3919.4,592.32
당산1동,6009,26110,4.35,8012,34813.33,27653.33,125.89
당산2동,4354,25401,5.83,2809.03,16387.74,23936.77,68.46
양평1동,4744,25003,5.27,5390.91,28412.5,21254.55,133.68
양평2동,3544,22775,6.43,1181.33,7591.67,7527.67,100.85
신길1동,1429,4395,3.08,2165.15,6659.09,31034.85,21.46
신길3동,1230,2903,2.36,2365.38,5582.69,33232.69,16.8
신길4동,590,1501,2.54,1552.63,3950,34252.63,11.53
신길5동,735,2078,2.83,1563.83,4421.28,23855.32,18.53
신길6동,1714,4957,2.89,2636.92,7626.15,30143.08,25.3
신길7동,1006,3447,3.43,1571.88,5385.94,31092.19,17.32
대림1동,1399,4781,3.42,2855.1,9757.14,33685.71,28.97
대림2동,2092,4741,2.27,3803.64,8620,31860,27.06
대림3동,3423,9446,2.76,3603.16,9943.16,26531.58,37.48
영등포본동,1723,5838,3.39,1689.22,5723.53,22268.63,25.7
영등포동,14996,42431,2.83,11901.59,33675.4,24175.4,139.3
도림동,1613,3121,1.93,1812.36,3506.74,22022.47,15.92
문래동,7595,49300,6.49,5097.32,33087.25,21838.93,151.51
노량진2동,1956,6911,3.53,3056.25,10798.44,17553.13,61.52
상도1동,2616,9710,3.71,1732.45,6430.46,30573.51,21.03
상도2동,1733,5469,3.16,1768.37,5580.61,28553.06,19.54
상도3동,1503,3780,2.51,2505,6300,40760,15.46
상도4동,1565,3447,2.2,2086.67,4596,38085.33,12.07
사당1동,2455,10604,4.32,3107.59,13422.78,29125.32,46.09
사당3동,1418,4718,3.33,1541.3,5128.26,26292.39,19.5
사당4동,948,2004,2.11,2494.74,5273.68,37328.95,14.13
사당5동,834,1933,2.32,1463.16,3391.23,25322.81,13.39
대방동,2377,12418,5.22,1533.55,8011.61,23907.1,33.51
신대방1동,1434,4365,3.04,2312.9,7040.32,40512.9,17.38
신대방2동,1852,17639,9.52,1798.06,17125.24,21791.26,78.59
흑석동,1943,10608,5.46,1156.55,6314.29,18270.24,34.56
노량진1동,2279,7335,3.22,1442.41,4642.41,20325.32,22.84
사당2동,2207,6128,2.78,802.55,2228.36,10467.64,21.29
보라매동,1943,7099,3.65,2556.58,9340.79,32447.37,28.79
청림동,745,1503,2.02,2483.33,5010,50016.67,10.02
행운동,2043,6101,2.99,2837.5,8473.61,41161.11,20.59
낙성대동,1980,8969,4.53,872.25,3951.1,7897.8,50.03
중앙동,1659,5458,3.29,4253.85,13994.87,40217.95,34.8
인헌동,1557,4630,2.97,1441.67,4287.04,24184.26,17.73
남현동,1472,7215,4.9,450.15,2206.42,5554.43,39.72
서원동,1825,8898,4.88,2807.69,13689.23,36170.77,37.85
신원동,1165,2706,2.32,2118.18,4920,33854.55,14.53
서림동,1560,3344,2.14,1575.76,3377.78,24607.07,13.73
신사동,1892,4428,2.34,2956.25,6918.75,38623.44,17.91
신림동,2198,5910,2.69,4070.37,10944.44,44216.67,24.75
난향동,744,2078,2.79,930,2597.5,18812.5,13.81
조원동,2634,6832,2.59,3931.34,10197.01,30582.09,33.34
대학동,2035,15662,7.7,245.18,1886.99,3168.8,59.55
은천동,2348,8039,3.42,3010.26,10306.41,42507.69,24.25
성현동,1357,3265,2.41,1995.59,4801.47,42397.06,11.33
청룡동,2717,12571,4.63,2302.54,10653.39,31467.8,33.85
난곡동,1441,3028,2.1,1501.04,3154.17,27790.63,11.35
삼성동,1330,3061,2.3,500,1150.75,7760.15,14.83
미성동,2169,5598,2.58,1571.74,4056.52,22218.84,18.26
서초1동,5415,43292,7.99,3813.38,30487.32,14522.54,209.93
서초2동,8575,72376,8.44,6915.32,58367.74,21719.35,268.74
서초3동,11983,91894,7.67,4089.76,31363.14,11050.85,283.81
서초4동,4216,30827,7.31,4790.91,35030.68,34682.95,101
잠원동,3368,18105,5.38,1913.64,10286.93,14996.02,68.6
반포본동,248,1098,4.43,245.54,1087.13,289.11,376.03
반포1동,2551,14683,5.76,2551,14683,34443,42.63
반포2동,508,2350,4.63,376.3,1740.74,11660.74,14.93
반포3동,1376,7196,5.23,1075,5621.88,17791.41,31.6
반포4동,4134,29538,7.15,2890.91,20655.94,13626.57,151.59
방배본동,2400,9854,4.11,3582.09,14707.46,31011.94,47.43
방배1동,2535,19930,7.86,3621.43,28471.43,24118.57,118.05
방배2동,2720,16795,6.17,1409.33,8702.07,9612.95,90.52
방배3동,1926,13604,7.06,802.5,5668.33,7217.08,78.54
방배4동,3244,13998,4.32,3310.2,14283.67,23907.14,59.75
양재1동,5541,46674,8.42,961.98,8103.13,7410.24,109.35
양재2동,7752,49915,6.44,1022.69,6585.09,2871.5,229.33
내곡동,1483,10238,6.9,116.96,807.41,1376.58,58.65
신사동,5836,28254,4.84,3087.83,14949.21,8400,177.97
개포3동,802,10586,13.2,646.77,8537.1,14017.74,60.9
논현1동,8251,50525,6.12,6600.8,40420,17664,228.83
논현2동,8651,72273,8.35,5885.03,49165.31,14159.18,347.23
삼성1동,7562,75500,9.98,3897.94,38917.53,6566.49,592.67
삼성2동,6245,48732,7.8,5036.29,39300,25050,156.89
대치1동,1380,7865,5.7,1746.84,9955.7,30184.81,32.98
대치4동,5840,33649,5.76,8000,46094.52,26700,172.64
역삼1동,21199,176802,8.34,9020.85,75234.89,15130.21,497.25
역삼2동,5921,44391,7.5,5148.7,38600.87,32407.83,119.11
도곡1동,2535,18641,7.35,2485.29,18275.49,20856.86,87.62
도곡2동,2827,20777,7.35,2771.57,20369.61,32201.96,63.26
개포1동,259,1090,4.21,203.94,858.27,5450.39,15.75
개포4동,2844,10958,3.85,1908.72,7354.36,15865.1,46.36
일원본동,737,9847,13.36,285.66,3816.67,8920.54,42.79
일원1동,2227,6756,3.03,2420.65,7343.48,16290.22,45.08
수서동,2144,18884,8.81,1499.3,13205.59,10071.33,131.12
세곡동,2620,10025,3.83,411.95,1576.26,6821.07,23.11
압구정동,5961,36375,6.1,2356.13,14377.47,10237.94,140.43
청담동,6669,43440,6.51,2862.23,18643.78,10939.48,170.43
대치2동,5958,73384,12.32,2979,36692,18549,197.81
개포2동,1336,4154,3.11,532.27,1654.98,11566.53,14.31
풍납1동,898,2399,2.67,1166.23,3115.58,16766.23,18.58
풍납2동,1794,16942,9.44,1128.3,10655.35,15362.26,69.36
거여1동,1249,3680,2.95,2449.02,7215.69,24029.41,30.03
거여2동,1359,4916,3.62,2564.15,9275.47,44801.89,20.7
마천1동,1447,3223,2.23,2494.83,5556.9,32100,17.31
마천2동,1793,4759,2.65,2014.61,5347.19,20393.26,26.22
방이1동,2025,7906,3.9,4050,15812,30920,51.14
방이2동,5101,24960,4.89,6376.25,31200,32942.5,94.71
오륜동,771,5088,6.6,243.22,1605.05,5616.4,28.58
오금동,3539,20586,5.82,2144.85,12476.36,23052.73,54.12
송파1동,3496,13713,3.92,4425.32,17358.23,30389.87,57.12
송파2동,1285,3934,3.06,2424.53,7422.64,35749.06,20.76
석촌동,3916,15906,4.06,4122.11,16743.16,33265.26,50.33
삼전동,2829,10270,3.63,2977.89,10810.53,31486.32,34.33
가락본동,4874,29914,6.14,4313.27,26472.57,22905.31,115.57
가락1동,3731,12330,3.3,2784.33,9201.49,20538.06,44.8
가락2동,3314,12174,3.67,3452.08,12681.25,32989.58,38.44
문정1동,1932,7535,3.9,3450,13455.36,35564.29,37.83
문정2동,13609,100070,7.35,6185.91,45486.36,13109.55,346.97
잠실본동,4307,22020,5.11,4581.91,23425.53,30168.09,77.65
잠실4동,626,1806,2.88,401.28,1157.69,13604.49,8.51
잠실6동,3598,55087,15.31,1289.61,19744.44,5990.32,329.61
잠실7동,338,1289,3.81,563.33,2148.33,15711.67,13.67
잠실2동,1228,4519,3.68,563.3,2072.94,15998.17,12.96
잠실3동,2087,8939,4.28,1400.67,5999.33,22914.77,26.18
장지동,1983,9411,4.75,1447.45,6869.34,21242.34,32.34
위례동,1609,5929,3.68,630.98,2325.1,17495.29,13.29
명일1동,2680,8064,3.01,4393.44,13219.67,42034.43,31.45
명일2동,1515,5549,3.66,1561.86,5720.62,17862.89,32.03
고덕1동,1161,2970,2.56,768.87,1966.89,15840.4,12.42
고덕2동,1312,5376,4.1,524.8,2150.4,9105.6,23.62
암사2동,1248,3858,3.09,1057.63,3269.49,12770.34,25.6
암사3동,1335,2740,2.05,531.87,1091.63,6964.54,15.67
천호1동,2438,5736,2.35,3433.8,8078.87,37563.38,21.51
천호3동,2570,10141,3.95,3253.16,12836.71,33770.89,38.01
