,역사_ID,역사명,호선,위도,경도,주소
39,4708,솔샘,우이신설선,37.620238,127.013626,"서울삼광교회, 188, 솔샘로, 삼각산동, 강북구, 서울특별시, 01192, 대한민국"
40,4707,삼양사거리,우이신설선,37.621337,127.020473,"삼양로, 송천동, 강북구, 서울특별시, 01121, 대한민국"
41,4706,삼양,우이신설선,37.626914,127.018106,"삼양, 삼양로, 삼양동, 강북구, 서울특별시, 01121, 대한민국"
42,4705,화계,우이신설선,37.634133,127.017511,"삼양로, 수유1동, 강북구, 서울특별시, 01100, 대한민국"
43,4704,가오리,우이신설선,37.641537,127.016789,"주문진 회센타, 424, 삼양로, 수유2동, 강북구, 서울특별시, 01041, 대한민국"
44,4703,4.19민주묘지,우이신설선,37.649502,127.013684,"목포홍탁, 522, 삼양로, 우이동, 수유2동, 강북구, 서울특별시, 01044, 대한민국"
45,4702,솔밭공원,우이신설선,37.65603,127.013273,"삼양로, 우이동, 쌍문1동, 강북구, 서울특별시, 01006, 대한민국"
46,4701,북한산우이,우이신설선,37.662909,127.012706,"삼양로, 우이동, 강북구, 서울특별시, 01360, 대한민국"
47,4615,탑석,의정부선,37.733579,127.088704,"용현동, 의정부시, 11789, 대한민국"
48,4614,송산,의정부선,37.737279,127.087159,"용현동, 의정부시, 11789, 대한민국"
49,4613,어룡,의정부선,37.742802,127.085035,"어룡역, 충의로124번길, 의정부시, 11803, 대한민국"
50,4612,곤제,의정부선,37.750471,127.083715,"부용천 자전거길, 자금동, 의정부시, 경기도, 11772, 대한민국"
51,4611,효자,의정부선,37.754025,127.076902,"부용천 자전거길, 신곡2동, 의정부시, 경기도, 11775, 대한민국"
52,4610,경기도청북부청사,의정부선,37.75059,127.071495,"미사리밀밭초계국수&닭칼국수, 620, 장곡로, 신곡2동, 의정부시, 경기도, 11775, 대한민국"
53,4609,새말,의정부선,37.748885,127.06362,"부용천 자전거길, 신곡2동, 의정부시, 경기도, 11775, 대한민국"
54,4608,동오,의정부선,37.745271,127.056947,"동오, 장곡로, 신곡2동, 의정부시, 경기도, 11740, 대한민국"
55,4607,의정부중앙,의정부선,37.743676,127.049565,"의정부중앙, 호국로, 의정부동, 의정부1동, 경기도, 11689, 대한민국"
56,4606,흥선,의정부선,37.743302,127.037023,"호국로, 의정부2동, 의정부시, 경기도, 11672, 대한민국"
57,4605,의정부시청,의정부선,37.739256,127.034781,"의정부시청, 69, 의정로, 의정부2동, 의정부시, 경기도, 11672, 대한민국"
58,4604,경전철의정부,의정부선,37.737202,127.043257,"의정부2동, 의정부시, 11651, 대한민국"
59,4603,범골,의정부선,37.728755,127.04353,"신흥로, 호원2동, 경기도, 11632, 대한민국"
60,4602,회룡,의정부선,37.725006,127.047073,"363, 평화로, 호원1동, 호원2동, 경기도, 11637, 대한민국"
61,4601,발곡,의정부선,37.727048,127.052803,"발곡, 장곡로, 신곡1동, 의정부시, 경기도, 11733, 대한민국"
62,4517,전대.에버랜드,에버라인선,37.285342,127.219561,"전대·에버랜드, 에버랜드로, 처인구, 용인시, 경기도, 17028, 대한민국"
63,4515,둔전,에버라인선,37.267051,127.21364,"둔전, 경안천로, 처인구, 용인시, 경기도, 17038, 대한민국"
64,4514,보평,에버라인선,37.258965,127.218457,"경안천 자전거길, 고림동, 처인구, 용인시, 17041, 대한민국"
65,4513,고진,에버라인선,37.24484,127.214251,"경안천 자전거길, 유방동, 처인구, 용인시, 17148, 대한민국"
