행정동_ID,행정동_명칭,월,버스_승객_수_18시,버스_승객_수_19시,퇴근_시간_버스_승객_수,퇴근_시간_평일_일평균_승객수
11010530,사직동,06,75479.0,41226.0,116705.0,5835.25
11010540,삼청동,06,10797.0,6684.0,17481.0,874.05
11010550,부암동,06,16348.0,10757.0,27105.0,1355.25
11010560,평창동,06,13792.0,8507.0,22299.0,1114.95
11010570,무악동,06,3691.0,3118.0,6809.0,340.45
11010580,교남동,06,20823.0,14054.0,34877.0,1743.85
11010600,가회동,06,4374.0,2105.0,6479.0,323.95
11010610,"종로1,2,3,4가동",06,155111.0,96091.0,251202.0,12560.1
11010630,"종로5,6가동",06,29755.0,16937.0,46692.0,2334.6
11010640,이화동,06,26329.0,15209.0,41538.0,2076.9
11010670,창신1동,06,14828.0,11163.0,25991.0,1299.55
11010680,창신2동,06,199.0,206.0,405.0,20.25
11010690,창신3동,06,1639.0,1425.0,3064.0,153.2
11010700,숭인1동,06,12434.0,10504.0,22938.0,1146.9
11010710,숭인2동,06,7852.0,4973.0,12825.0,641.25
11010720,청운효자동,06,15139.0,8113.0,23252.0,1162.6
11010730,혜화동,06,27902.0,21245.0,49147.0,2457.35
11020520,소공동,06,102246.0,54055.0,156301.0,7815.05
11020540,회현동,06,65717.0,43169.0,108886.0,5444.3
11020550,명동,06,51404.0,32762.0,84166.0,4208.3
11020570,필동,06,12946.0,9157.0,22103.0,1105.15
11020580,장충동,06,10728.0,7282.0,18010.0,900.5
11020590,광희동,06,24247.0,16908.0,41155.0,2057.75
11020600,을지로동,06,9692.0,6153.0,15845.0,792.25
11020650,신당5동,06,12476.0,10038.0,22514.0,1125.7
11020670,황학동,06,5173.0,4274.0,9447.0,472.35
11020680,중림동,06,11177.0,6530.0,17707.0,885.35
11020690,신당동,06,5951.0,4618.0,10569.0,528.45
11020700,다산동,06,5079.0,3816.0,8895.0,444.75
11020710,약수동,06,5998.0,5018.0,11016.0,550.8
11020720,청구동,06,5117.0,4563.0,9680.0,484.0
11020730,동화동,06,1830.0,1574.0,3404.0,170.2
11030510,후암동,06,8085.0,6447.0,14532.0,726.6
11030520,용산2가동,06,20792.0,18818.0,39610.0,1980.5
11030530,남영동,06,37724.0,26144.0,63868.0,3193.4
11030570,원효로2동,06,12911.0,5697.0,18608.0,930.4
11030580,효창동,06,5866.0,3771.0,9637.0,481.85
11030590,용문동,06,5301.0,4020.0,9321.0,466.05
11030630,이촌1동,06,10446.0,8156.0,18602.0,930.1
11030640,이촌2동,06,4134.0,3934.0,8068.0,403.4
11030650,이태원1동,06,10060.0,7954.0,18014.0,900.7
11030660,이태원2동,06,6980.0,6039.0,13019.0,650.95
11030690,서빙고동,06,10015.0,6699.0,16714.0,835.7
11030700,보광동,06,5527.0,3792.0,9319.0,465.95
11030710,청파동,06,11934.0,8540.0,20474.0,1023.7
11030720,원효로1동,06,19827.0,11201.0,31028.0,1551.4
11030730,한강로동,06,65544.0,43205.0,108749.0,5437.45
11030740,한남동,06,54682.0,37833.0,92515.0,4625.75
11040520,왕십리2동,06,6019.0,5318.0,11337.0,566.85
11040540,마장동,06,11167.0,8134.0,19301.0,965.05
11040550,사근동,06,10780.0,8671.0,19451.0,972.55
11040560,행당1동,06,28481.0,23860.0,52341.0,2617.05
11040570,행당2동,06,8935.0,6995.0,15930.0,796.5
11040580,응봉동,06,4048.0,3024.0,7072.0,353.6
11040590,금호1가동,06,5421.0,4448.0,9869.0,493.45
11040620,금호4가동,06,14023.0,10370.0,24393.0,1219.65
11040650,성수1가1동,06,12099.0,8912.0,21011.0,1050.55
11040660,성수1가2동,06,10992.0,7410.0,18402.0,920.1
11040670,성수2가1동,06,9063.0,6007.0,15070.0,753.5
11040680,성수2가3동,06,16336.0,9714.0,26050.0,1302.5
11040690,송정동,06,6934.0,3278.0,10212.0,510.6
11040700,용답동,06,16583.0,11282.0,27865.0,1393.25
11040710,왕십리도선동,06,15644.0,11966.0,27610.0,1380.5
11040720,"금호2,3가동",06,7353.0,5858.0,13211.0,660.55
11040730,옥수동,06,15492.0,11441.0,26933.0,1346.65
11050530,화양동,06,22539.0,18750.0,41289.0,2064.45
11050540,군자동,06,16198.0,11905.0,28103.0,1405.15
11050550,중곡1동,06,7523.0,5895.0,13418.0,670.9
11050560,중곡2동,06,8782.0,6823.0,15605.0,780.25
11050570,중곡3동,06,7551.0,6200.0,13751.0,687.55
11050580,중곡4동,06,5552.0,4479.0,10031.0,501.55
11050590,능동,06,12482.0,9264.0,21746.0,1087.3
11050600,구의1동,06,15849.0,10801.0,26650.0,1332.5
11050610,구의2동,06,12665.0,8904.0,21569.0,1078.45
11050620,구의3동,06,16991.0,12960.0,29951.0,1497.55
11050630,광장동,06,9139.0,5809.0,14948.0,747.4
11050640,자양1동,06,10235.0,6530.0,16765.0,838.25
11050650,자양2동,06,10164.0,6894.0,17058.0,852.9
11050660,자양3동,06,12972.0,10110.0,23082.0,1154.1
11050670,자양4동,06,12503.0,10227.0,22730.0,1136.5
11060710,회기동,06,11062.0,7761.0,18823.0,941.15
11060720,휘경1동,06,19889.0,14498.0,34387.0,1719.35
11060730,휘경2동,06,18742.0,12200.0,30942.0,1547.1
11060800,청량리동,06,21423.0,15586.0,37009.0,1850.45
11060810,용신동,06,74121.0,43676.0,117797.0,5889.85
11060820,제기동,06,35090.0,24230.0,59320.0,2966.0
11060830,전농1동,06,45531.0,34489.0,80020.0,4001.0
11060840,전농2동,06,13338.0,8651.0,21989.0,1099.45
11060860,답십리2동,06,19329.0,13885.0,33214.0,1660.7
11060870,장안1동,06,44629.0,32103.0,76732.0,3836.6
11060880,장안2동,06,22839.0,18256.0,41095.0,2054.75
11060890,이문1동,06,12595.0,9075.0,21670.0,1083.5
11060900,이문2동,06,6661.0,4960.0,11621.0,581.05
11060910,답십리1동,06,13785.0,8572.0,22357.0,1117.85
11070520,면목2동,06,8982.0,7166.0,16148.0,807.4
11070540,면목4동,06,7748.0,6774.0,14522.0,726.1
11070550,면목5동,06,6400.0,5583.0,11983.0,599.15
11070570,면목7동,06,11031.0,9495.0,20526.0,1026.3
11070590,상봉1동,06,4414.0,2794.0,7208.0,360.4
11070600,상봉2동,06,34003.0,28909.0,62912.0,3145.6
11070610,중화1동,06,5654.0,4880.0,10534.0,526.7
11070620,중화2동,06,19266.0,15287.0,34553.0,1727.65
11070640,묵1동,06,12222.0,10908.0,23130.0,1156.5
11070650,묵2동,06,4065.0,3029.0,7094.0,354.7
11070680,망우3동,06,5735.0,4932.0,10667.0,533.35
11070690,신내1동,06,23569.0,14009.0,37578.0,1878.9
11070700,신내2동,06,21654.0,16075.0,37729.0,1886.45
11070710,면목본동,06,25081.0,24920.0,50001.0,2500.05
11070720,"면목3,8동",06,18347.0,16406.0,34753.0,1737.65
11070730,망우본동,06,25748.0,20128.0,45876.0,2293.8
11080580,돈암1동,06,24114.0,18975.0,43089.0,2154.45
11080590,돈암2동,06,6163.0,3944.0,10107.0,505.35
11080600,안암동,06,16986.0,11509.0,28495.0,1424.75
11080610,보문동,06,11215.0,7738.0,18953.0,947.65
11080620,정릉1동,06,12428.0,9618.0,22046.0,1102.3
11080630,정릉2동,06,11589.0,8833.0,20422.0,1021.1
11080640,정릉3동,06,14309.0,10903.0,25212.0,1260.6
11080650,정릉4동,06,23008.0,16902.0,39910.0,1995.5
11080660,길음1동,06,24501.0,18925.0,43426.0,2171.3
11080680,길음2동,06,20073.0,14794.0,34867.0,1743.35
11080710,월곡1동,06,17766.0,13952.0,31718.0,1585.9
11080720,월곡2동,06,13420.0,10997.0,24417.0,1220.85
11080760,장위1동,06,8843.0,8537.0,17380.0,869.0
11080770,장위2동,06,12306.0,12017.0,24323.0,1216.15
11080780,장위3동,06,8736.0,6787.0,15523.0,776.15
11080810,성북동,06,21908.0,16463.0,38371.0,1918.55
11080820,삼선동,06,39896.0,29385.0,69281.0,3464.05
11080830,동선동,06,33065.0,28993.0,62058.0,3102.9
11080840,종암동,06,27994.0,20784.0,48778.0,2438.9
11080850,석관동,06,22569.0,20727.0,43296.0,2164.8
11090600,번1동,06,45259.0,38210.0,83469.0,4173.45
11090610,번2동,06,11371.0,7526.0,18897.0,944.85
11090620,번3동,06,8578.0,5386.0,13964.0,698.2
11090630,수유1동,06,15122.0,11507.0,26629.0,1331.45
11090640,수유2동,06,9448.0,7613.0,17061.0,853.05
11090650,수유3동,06,36246.0,30461.0,66707.0,3335.35
11090690,삼양동,06,8315.0,6752.0,15067.0,753.35
11090700,미아동,06,20074.0,15845.0,35919.0,1795.95
11090710,송중동,06,69209.0,59850.0,129059.0,6452.95
11090720,송천동,06,18208.0,14227.0,32435.0,1621.75
11090730,삼각산동,06,10573.0,7842.0,18415.0,920.75
11090740,우이동,06,14584.0,10193.0,24777.0,1238.85
11090750,인수동,06,11777.0,8506.0,20283.0,1014.15
11100510,쌍문1동,06,11367.0,7836.0,19203.0,960.15
11100520,쌍문2동,06,11864.0,8350.0,20214.0,1010.7
11100530,쌍문3동,06,11884.0,10078.0,21962.0,1098.1
11100540,쌍문4동,06,7003.0,5039.0,12042.0,602.1
11100550,방학1동,06,16164.0,12361.0,28525.0,1426.25
11100560,방학2동,06,5085.0,3900.0,8985.0,449.25
11100570,방학3동,06,8298.0,5715.0,14013.0,700.65
11100590,창1동,06,32648.0,33998.0,66646.0,3332.3
11100600,창2동,06,9244.0,7062.0,16306.0,815.3
11100610,창3동,06,6773.0,5099.0,11872.0,593.6
11100620,창4동,06,21256.0,16558.0,37814.0,1890.7
11100630,창5동,06,14731.0,11232.0,25963.0,1298.15
11100640,도봉1동,06,16429.0,11660.0,28089.0,1404.45
11100650,도봉2동,06,10970.0,8848.0,19818.0,990.9
11110510,월계1동,06,25601.0,20285.0,45886.0,2294.3
11110520,월계2동,06,8760.0,6949.0,15709.0,785.45
11110530,월계3동,06,10119.0,8089.0,18208.0,910.4
11110560,공릉2동,06,19301.0,13205.0,32506.0,1625.3
11110580,하계1동,06,19042.0,15119.0,34161.0,1708.05
11110590,하계2동,06,10247.0,8468.0,18715.0,935.75
11110600,중계본동,06,11061.0,8264.0,19325.0,966.25
11110610,중계1동,06,7428.0,6218.0,13646.0,682.3
11110640,중계4동,06,13711.0,12936.0,26647.0,1332.35
11110650,상계1동,06,11953.0,10841.0,22794.0,1139.7
11110660,상계2동,06,24195.0,21460.0,45655.0,2282.75
11110690,상계5동,06,8053.0,6617.0,14670.0,733.5
11110720,상계8동,06,2999.0,2287.0,5286.0,264.3
11110730,상계9동,06,5218.0,4357.0,9575.0,478.75
11110740,상계10동,06,11418.0,9699.0,21117.0,1055.85
11110760,"상계3,4동",06,3039.0,1906.0,4945.0,247.25
11110770,"상계6,7동",06,22179.0,17347.0,39526.0,1976.3
11110780,"중계2,3동",06,16025.0,13935.0,29960.0,1498.0
11110790,공릉1동,06,15881.0,13768.0,29649.0,1482.45
11120510,녹번동,06,24384.0,17972.0,42356.0,2117.8
11120520,불광1동,06,31786.0,28488.0,60274.0,3013.7
11120550,갈현1동,06,7657.0,6724.0,14381.0,719.05
11120560,갈현2동,06,15680.0,13762.0,29442.0,1472.1
11120570,구산동,06,10463.0,7825.0,18288.0,914.4
11120580,대조동,06,22506.0,19236.0,41742.0,2087.1
11120590,응암1동,06,29143.0,24185.0,53328.0,2666.4
11120600,응암2동,06,6554.0,4629.0,11183.0,559.15
11120650,신사1동,06,15111.0,12341.0,27452.0,1372.6
11120660,신사2동,06,8071.0,6380.0,14451.0,722.55
