행정동_ID,행정동_명칭,월,버스_승객_수_07시,버스_승객_수_08시,출근_시간_버스_승객_수,출근_시간_평일_일평균_승객수
11010530,사직동,01,21328.0,35299.0,56627.0,2462.0434782608695
11010540,삼청동,01,2333.0,3742.0,6075.0,264.1304347826087
11010550,부암동,01,11475.0,15380.0,26855.0,1167.608695652174
11010560,평창동,01,13940.0,14834.0,28774.0,1251.0434782608695
11010570,무악동,01,986.0,1752.0,2738.0,119.04347826086956
11010580,교남동,01,9092.0,13399.0,22491.0,977.8695652173913
11010600,가회동,01,3034.0,4823.0,7857.0,341.60869565217394
11010610,"종로1,2,3,4가동",01,39214.0,72115.0,111329.0,4840.391304347826
11010630,"종로5,6가동",01,5969.0,12012.0,17981.0,781.7826086956521
11010640,이화동,01,17241.0,28775.0,46016.0,2000.695652173913
11010670,창신1동,01,8019.0,13742.0,21761.0,946.1304347826087
11010680,창신2동,01,213.0,323.0,536.0,23.304347826086957
11010690,창신3동,01,2866.0,3491.0,6357.0,276.39130434782606
11010700,숭인1동,01,3449.0,6453.0,9902.0,430.5217391304348
11010710,숭인2동,01,8573.0,13430.0,22003.0,956.6521739130435
11010720,청운효자동,01,9401.0,12669.0,22070.0,959.5652173913044
11010730,혜화동,01,17813.0,28088.0,45901.0,1995.695652173913
11020520,소공동,01,13460.0,24778.0,38238.0,1662.5217391304348
11020540,회현동,01,27250.0,45922.0,73172.0,3181.391304347826
11020550,명동,01,22923.0,34701.0,57624.0,2505.391304347826
11020570,필동,01,5309.0,8431.0,13740.0,597.3913043478261
11020580,장충동,01,2637.0,5848.0,8485.0,368.9130434782609
11020590,광희동,01,8493.0,14895.0,23388.0,1016.8695652173913
11020600,을지로동,01,1517.0,3039.0,4556.0,198.08695652173913
11020650,신당5동,01,4807.0,8285.0,13092.0,569.2173913043479
11020670,황학동,01,5876.0,8383.0,14259.0,619.9565217391304
11020680,중림동,01,7334.0,11309.0,18643.0,810.5652173913044
11020690,신당동,01,4933.0,6630.0,11563.0,502.7391304347826
11020700,다산동,01,7045.0,9982.0,17027.0,740.304347826087
11020710,약수동,01,5146.0,8268.0,13414.0,583.2173913043479
11020720,청구동,01,1753.0,3384.0,5137.0,223.34782608695653
11020730,동화동,01,2026.0,2493.0,4519.0,196.47826086956522
11030510,후암동,01,11104.0,18766.0,29870.0,1298.695652173913
11030520,용산2가동,01,14808.0,25263.0,40071.0,1742.2173913043478
11030530,남영동,01,26701.0,44006.0,70707.0,3074.217391304348
11030570,원효로2동,01,14624.0,18705.0,33329.0,1449.0869565217392
11030580,효창동,01,6961.0,11245.0,18206.0,791.5652173913044
11030590,용문동,01,5430.0,7220.0,12650.0,550.0
11030630,이촌1동,01,7988.0,10090.0,18078.0,786.0
11030640,이촌2동,01,6555.0,7739.0,14294.0,621.4782608695652
11030650,이태원1동,01,4481.0,8752.0,13233.0,575.3478260869565
11030660,이태원2동,01,5188.0,8391.0,13579.0,590.3913043478261
11030690,서빙고동,01,11428.0,14694.0,26122.0,1135.7391304347825
11030700,보광동,01,8048.0,11670.0,19718.0,857.304347826087
11030710,청파동,01,10608.0,16297.0,26905.0,1169.7826086956522
11030720,원효로1동,01,16078.0,25715.0,41793.0,1817.0869565217392
11030730,한강로동,01,31865.0,57546.0,89411.0,3887.4347826086955
11030740,한남동,01,33372.0,50011.0,83383.0,3625.3478260869565
11040520,왕십리2동,01,8702.0,10510.0,19212.0,835.304347826087
11040540,마장동,01,8920.0,11928.0,20848.0,906.4347826086956
11040550,사근동,01,5537.0,8384.0,13921.0,605.2608695652174
11040560,행당1동,01,13480.0,20966.0,34446.0,1497.6521739130435
11040570,행당2동,01,8544.0,10968.0,19512.0,848.3478260869565
11040580,응봉동,01,10731.0,15297.0,26028.0,1131.6521739130435
11040590,금호1가동,01,7814.0,10920.0,18734.0,814.5217391304348
11040620,금호4가동,01,12130.0,16926.0,29056.0,1263.304347826087
11040650,성수1가1동,01,6212.0,9478.0,15690.0,682.1739130434783
11040660,성수1가2동,01,2615.0,4432.0,7047.0,306.39130434782606
11040670,성수2가1동,01,11605.0,17411.0,29016.0,1261.5652173913043
11040680,성수2가3동,01,5992.0,12760.0,18752.0,815.304347826087
11040690,송정동,01,6333.0,9447.0,15780.0,686.0869565217391
11040700,용답동,01,11244.0,15329.0,26573.0,1155.3478260869565
11040710,왕십리도선동,01,11311.0,17988.0,29299.0,1273.8695652173913
11040720,"금호2,3가동",01,9124.0,13059.0,22183.0,964.4782608695652
11040730,옥수동,01,9875.0,14850.0,24725.0,1075.0
11050530,화양동,01,10378.0,17926.0,28304.0,1230.608695652174
11050540,군자동,01,14000.0,21958.0,35958.0,1563.391304347826
11050550,중곡1동,01,7665.0,11434.0,19099.0,830.3913043478261
11050560,중곡2동,01,9433.0,14101.0,23534.0,1023.2173913043479
11050570,중곡3동,01,9391.0,12159.0,21550.0,936.9565217391304
11050580,중곡4동,01,7466.0,8116.0,15582.0,677.4782608695652
11050590,능동,01,8886.0,13739.0,22625.0,983.695652173913
11050600,구의1동,01,10359.0,16002.0,26361.0,1146.1304347826087
11050610,구의2동,01,13175.0,19530.0,32705.0,1421.9565217391305
11050620,구의3동,01,5410.0,9356.0,14766.0,642.0
11050630,광장동,01,10418.0,14007.0,24425.0,1061.9565217391305
11050640,자양1동,01,12655.0,18698.0,31353.0,1363.1739130434783
11050650,자양2동,01,15904.0,23277.0,39181.0,1703.5217391304348
11050660,자양3동,01,10140.0,13954.0,24094.0,1047.5652173913043
11050670,자양4동,01,5954.0,9580.0,15534.0,675.3913043478261
11060710,회기동,01,6433.0,9929.0,16362.0,711.3913043478261
11060720,휘경1동,01,18386.0,30636.0,49022.0,2131.391304347826
11060730,휘경2동,01,18443.0,25149.0,43592.0,1895.304347826087
11060800,청량리동,01,18884.0,26815.0,45699.0,1986.9130434782608
11060810,용신동,01,36817.0,59585.0,96402.0,4191.391304347826
11060820,제기동,01,21537.0,35651.0,57188.0,2486.4347826086955
11060830,전농1동,01,25302.0,39814.0,65116.0,2831.1304347826085
11060840,전농2동,01,20937.0,24546.0,45483.0,1977.5217391304348
11060860,답십리2동,01,21434.0,27998.0,49432.0,2149.217391304348
11060870,장안1동,01,31898.0,43454.0,75352.0,3276.1739130434785
11060880,장안2동,01,36068.0,39600.0,75668.0,3289.913043478261
11060890,이문1동,01,8789.0,11545.0,20334.0,884.0869565217391
11060900,이문2동,01,5954.0,8448.0,14402.0,626.1739130434783
11060910,답십리1동,01,18030.0,24570.0,42600.0,1852.1739130434783
11070520,면목2동,01,17011.0,20486.0,37497.0,1630.304347826087
11070540,면목4동,01,10319.0,14115.0,24434.0,1062.3478260869565
11070550,면목5동,01,13577.0,14420.0,27997.0,1217.2608695652175
11070570,면목7동,01,9982.0,11955.0,21937.0,953.7826086956521
11070590,상봉1동,01,7071.0,8453.0,15524.0,674.9565217391304
11070600,상봉2동,01,18868.0,30002.0,48870.0,2124.782608695652
11070610,중화1동,01,5218.0,8140.0,13358.0,580.7826086956521
11070620,중화2동,01,17396.0,26056.0,43452.0,1889.2173913043478
11070640,묵1동,01,9355.0,13897.0,23252.0,1010.9565217391304
11070650,묵2동,01,6689.0,9041.0,15730.0,683.9130434782609
11070680,망우3동,01,12318.0,14327.0,26645.0,1158.4782608695652
11070690,신내1동,01,40932.0,46442.0,87374.0,3798.8695652173915
11070700,신내2동,01,14624.0,20442.0,35066.0,1524.608695652174
11070710,면목본동,01,17047.0,23975.0,41022.0,1783.5652173913043
11070720,"면목3,8동",01,17584.0,21726.0,39310.0,1709.1304347826087
11070730,망우본동,01,30397.0,34705.0,65102.0,2830.521739130435
11080580,돈암1동,01,17631.0,28068.0,45699.0,1986.9130434782608
11080590,돈암2동,01,16339.0,18567.0,34906.0,1517.6521739130435
11080600,안암동,01,7850.0,12512.0,20362.0,885.304347826087
11080610,보문동,01,10149.0,17812.0,27961.0,1215.695652173913
11080620,정릉1동,01,15414.0,20379.0,35793.0,1556.2173913043478
11080630,정릉2동,01,26826.0,30237.0,57063.0,2481.0
11080640,정릉3동,01,6524.0,9294.0,15818.0,687.7391304347826
11080650,정릉4동,01,26080.0,28330.0,54410.0,2365.6521739130435
11080660,길음1동,01,36015.0,43198.0,79213.0,3444.0434782608695
11080680,길음2동,01,10979.0,15913.0,26892.0,1169.2173913043478
11080710,월곡1동,01,18076.0,23214.0,41290.0,1795.2173913043478
11080720,월곡2동,01,4272.0,8816.0,13088.0,569.0434782608696
11080760,장위1동,01,23261.0,24894.0,48155.0,2093.695652173913
11080770,장위2동,01,8820.0,11581.0,20401.0,887.0
11080780,장위3동,01,17125.0,17054.0,34179.0,1486.0434782608695
11080810,성북동,01,18595.0,28690.0,47285.0,2055.8695652173915
11080820,삼선동,01,19079.0,32279.0,51358.0,2232.9565217391305
11080830,동선동,01,12324.0,21792.0,34116.0,1483.304347826087
11080840,종암동,01,34444.0,44245.0,78689.0,3421.2608695652175
11080850,석관동,01,14539.0,22232.0,36771.0,1598.7391304347825
11090600,번1동,01,19004.0,32112.0,51116.0,2222.4347826086955
11090610,번2동,01,21624.0,24026.0,45650.0,1984.7826086956522
11090620,번3동,01,16990.0,18233.0,35223.0,1531.4347826086957
11090630,수유1동,01,22199.0,27853.0,50052.0,2176.1739130434785
11090640,수유2동,01,14903.0,18075.0,32978.0,1433.8260869565217
11090650,수유3동,01,23234.0,33504.0,56738.0,2466.8695652173915
11090690,삼양동,01,10918.0,12670.0,23588.0,1025.5652173913043
11090700,미아동,01,10247.0,15943.0,26190.0,1138.695652173913
11090710,송중동,01,26348.0,42221.0,68569.0,2981.2608695652175
11090720,송천동,01,26314.0,35233.0,61547.0,2675.9565217391305
11090730,삼각산동,01,14781.0,15151.0,29932.0,1301.391304347826
11090740,우이동,01,17129.0,21415.0,38544.0,1675.8260869565217
11090750,인수동,01,17694.0,21126.0,38820.0,1687.8260869565217
11100510,쌍문1동,01,17760.0,19216.0,36976.0,1607.6521739130435
11100520,쌍문2동,01,25307.0,24021.0,49328.0,2144.695652173913
11100530,쌍문3동,01,11605.0,16025.0,27630.0,1201.304347826087
11100540,쌍문4동,01,16996.0,16029.0,33025.0,1435.8695652173913
11100550,방학1동,01,15667.0,19859.0,35526.0,1544.608695652174
11100560,방학2동,01,10891.0,11494.0,22385.0,973.2608695652174
11100570,방학3동,01,27979.0,24629.0,52608.0,2287.304347826087
11100590,창1동,01,7682.0,14068.0,21750.0,945.6521739130435
11100600,창2동,01,18793.0,20801.0,39594.0,1721.4782608695652
11100610,창3동,01,13615.0,14644.0,28259.0,1228.6521739130435
11100620,창4동,01,15996.0,19931.0,35927.0,1562.0434782608695
11100630,창5동,01,4937.0,9828.0,14765.0,641.9565217391304
11100640,도봉1동,01,19189.0,25424.0,44613.0,1939.695652173913
11100650,도봉2동,01,8218.0,10867.0,19085.0,829.7826086956521
11110510,월계1동,01,17386.0,20970.0,38356.0,1667.6521739130435
11110520,월계2동,01,18480.0,17403.0,35883.0,1560.1304347826087
11110530,월계3동,01,12388.0,14199.0,26587.0,1155.9565217391305
11110560,공릉2동,01,20346.0,23536.0,43882.0,1907.9130434782608
11110580,하계1동,01,12791.0,16707.0,29498.0,1282.5217391304348
