행정동_ID,행정동_명칭,월,버스_승객_수_07시,버스_승객_수_08시,출근_시간_버스_승객_수,출근_시간_평일_일평균_승객수
11010530,사직동,07,25882.0,38544.0,64426.0,2801.1304347826085
11010540,삼청동,07,2630.0,4328.0,6958.0,302.5217391304348
11010550,부암동,07,14290.0,16657.0,30947.0,1345.5217391304348
11010560,평창동,07,17706.0,15286.0,32992.0,1434.4347826086957
11010570,무악동,07,1658.0,2294.0,3952.0,171.82608695652175
11010580,교남동,07,12324.0,14821.0,27145.0,1180.2173913043478
11010600,가회동,07,4062.0,5275.0,9337.0,405.95652173913044
11010610,"종로1,2,3,4가동",07,43352.0,76815.0,120167.0,5224.652173913043
11010630,"종로5,6가동",07,7486.0,13720.0,21206.0,922.0
11010640,이화동,07,19018.0,31232.0,50250.0,2184.782608695652
11010670,창신1동,07,9450.0,14964.0,24414.0,1061.4782608695652
11010680,창신2동,07,236.0,321.0,557.0,24.217391304347824
11010690,창신3동,07,3276.0,3331.0,6607.0,287.2608695652174
11010700,숭인1동,07,5055.0,7326.0,12381.0,538.304347826087
11010710,숭인2동,07,9687.0,14516.0,24203.0,1052.304347826087
11010720,청운효자동,07,11092.0,13152.0,24244.0,1054.0869565217392
11010730,혜화동,07,22180.0,29334.0,51514.0,2239.7391304347825
11020520,소공동,07,15060.0,27344.0,42404.0,1843.6521739130435
11020540,회현동,07,29116.0,48217.0,77333.0,3362.304347826087
11020550,명동,07,25114.0,35677.0,60791.0,2643.086956521739
11020570,필동,07,5529.0,9904.0,15433.0,671.0
11020580,장충동,07,3086.0,6425.0,9511.0,413.5217391304348
11020590,광희동,07,9613.0,15757.0,25370.0,1103.0434782608695
11020600,을지로동,07,1881.0,3769.0,5650.0,245.65217391304347
11020650,신당5동,07,5839.0,8912.0,14751.0,641.3478260869565
11020670,황학동,07,6906.0,9488.0,16394.0,712.7826086956521
11020680,중림동,07,8663.0,12291.0,20954.0,911.0434782608696
11020690,신당동,07,5503.0,7497.0,13000.0,565.2173913043479
11020700,다산동,07,8169.0,11010.0,19179.0,833.8695652173913
11020710,약수동,07,7003.0,9775.0,16778.0,729.4782608695652
11020720,청구동,07,2334.0,3669.0,6003.0,261.0
11020730,동화동,07,2712.0,2665.0,5377.0,233.7826086956522
11030510,후암동,07,13388.0,19439.0,32827.0,1427.2608695652175
11030520,용산2가동,07,17397.0,25565.0,42962.0,1867.9130434782608
