행정동_ID,행정동_명칭,월,버스_승객_수_18시,버스_승객_수_19시,퇴근_시간_버스_승객_수,퇴근_시간_평일_일평균_승객수
11010530,사직동,07,88519.0,46085.0,134604.0,5852.347826086957
11010540,삼청동,07,12055.0,7483.0,19538.0,849.4782608695652
11010550,부암동,07,14532.0,9440.0,23972.0,1042.2608695652175
11010560,평창동,07,14778.0,8905.0,23683.0,1029.695652173913
11010570,무악동,07,4002.0,3660.0,7662.0,333.1304347826087
11010580,교남동,07,23503.0,15946.0,39449.0,1715.1739130434783
11010600,가회동,07,4634.0,2377.0,7011.0,304.82608695652175
11010610,"종로1,2,3,4가동",07,183255.0,108625.0,291880.0,12690.434782608696
11010630,"종로5,6가동",07,35444.0,19401.0,54845.0,2384.5652173913045
11010640,이화동,07,32045.0,17484.0,49529.0,2153.4347826086955
11010670,창신1동,07,16910.0,12939.0,29849.0,1297.7826086956522
11010680,창신2동,07,194.0,200.0,394.0,17.130434782608695
11010690,창신3동,07,1375.0,1097.0,2472.0,107.47826086956522
11010700,숭인1동,07,14168.0,11622.0,25790.0,1121.304347826087
11010710,숭인2동,07,8689.0,5523.0,14212.0,617.9130434782609
11010720,청운효자동,07,17628.0,9046.0,26674.0,1159.7391304347825
11010730,혜화동,07,28839.0,22604.0,51443.0,2236.6521739130435
11020520,소공동,07,119721.0,60761.0,180482.0,7847.04347826087
11020540,회현동,07,75321.0,48915.0,124236.0,5401.565217391304
11020550,명동,07,60845.0,37402.0,98247.0,4271.608695652174
11020570,필동,07,14044.0,9615.0,23659.0,1028.6521739130435
11020580,장충동,07,11970.0,7661.0,19631.0,853.5217391304348
11020590,광희동,07,28724.0,20165.0,48889.0,2125.608695652174
11020600,을지로동,07,11130.0,7248.0,18378.0,799.0434782608696
11020650,신당5동,07,14576.0,11718.0,26294.0,1143.2173913043478
11020670,황학동,07,6364.0,5118.0,11482.0,499.2173913043478
11020680,중림동,07,13608.0,7430.0,21038.0,914.695652173913
11020690,신당동,07,6634.0,5332.0,11966.0,520.2608695652174
11020700,다산동,07,5683.0,4126.0,9809.0,426.4782608695652
11020710,약수동,07,7150.0,5588.0,12738.0,553.8260869565217
11020720,청구동,07,6247.0,5367.0,11614.0,504.95652173913044
11020730,동화동,07,2174.0,1824.0,3998.0,173.82608695652175
11030510,후암동,07,9476.0,6990.0,16466.0,715.9130434782609
11030520,용산2가동,07,22601.0,19101.0,41702.0,1813.1304347826087
11030530,남영동,07,43327.0,29684.0,73011.0,3174.391304347826
11030570,원효로2동,07,15068.0,6656.0,21724.0,944.5217391304348
11030580,효창동,07,6535.0,4294.0,10829.0,470.82608695652175
11030590,용문동,07,6123.0,4630.0,10753.0,467.5217391304348
11030630,이촌1동,07,11439.0,8404.0,19843.0,862.7391304347826
11030640,이촌2동,07,4242.0,3336.0,7578.0,329.4782608695652
11030650,이태원1동,07,11267.0,9316.0,20583.0,894.9130434782609
11030660,이태원2동,07,8277.0,6635.0,14912.0,648.3478260869565
11030690,서빙고동,07,11954.0,7838.0,19792.0,860.5217391304348
11030700,보광동,07,6238.0,4120.0,10358.0,450.3478260869565
11030710,청파동,07,13117.0,9464.0,22581.0,981.7826086956521
11030720,원효로1동,07,22887.0,12776.0,35663.0,1550.5652173913043
11030730,한강로동,07,75622.0,48418.0,124040.0,5393.04347826087
11030740,한남동,07,62530.0,42002.0,104532.0,4544.869565217391
11040520,왕십리2동,07,7073.0,6080.0,13153.0,571.8695652173913
11040540,마장동,07,13552.0,9121.0,22673.0,985.7826086956521
11040550,사근동,07,12604.0,10008.0,22612.0,983.1304347826087
11040560,행당1동,07,33433.0,28974.0,62407.0,2713.3478260869565
11040570,행당2동,07,10475.0,8230.0,18705.0,813.2608695652174
11040580,응봉동,07,4669.0,3344.0,8013.0,348.39130434782606
11040590,금호1가동,07,6237.0,4846.0,11083.0,481.8695652173913
11040620,금호4가동,07,16353.0,12435.0,28788.0,1251.6521739130435
11040650,성수1가1동,07,14246.0,10524.0,24770.0,1076.9565217391305
11040660,성수1가2동,07,13010.0,9143.0,22153.0,963.1739130434783
11040670,성수2가1동,07,10959.0,7288.0,18247.0,793.3478260869565
11040680,성수2가3동,07,20404.0,12290.0,32694.0,1421.4782608695652
11040690,송정동,07,8313.0,3957.0,12270.0,533.4782608695652
11040700,용답동,07,19936.0,13202.0,33138.0,1440.7826086956522
11040710,왕십리도선동,07,18392.0,14109.0,32501.0,1413.0869565217392
11040720,"금호2,3가동",07,8696.0,6965.0,15661.0,680.9130434782609
11040730,옥수동,07,18245.0,13358.0,31603.0,1374.0434782608695
11050530,화양동,07,26679.0,22272.0,48951.0,2128.304347826087
11050540,군자동,07,18437.0,13366.0,31803.0,1382.7391304347825
11050550,중곡1동,07,8713.0,6813.0,15526.0,675.0434782608696
11050560,중곡2동,07,10500.0,8064.0,18564.0,807.1304347826087
11050570,중곡3동,07,8653.0,7421.0,16074.0,698.8695652173913
11050580,중곡4동,07,6293.0,5120.0,11413.0,496.2173913043478
11050590,능동,07,13770.0,10465.0,24235.0,1053.695652173913
11050600,구의1동,07,18695.0,12939.0,31634.0,1375.391304347826
11050610,구의2동,07,14758.0,10225.0,24983.0,1086.2173913043478
11050620,구의3동,07,20046.0,15426.0,35472.0,1542.2608695652175
11050630,광장동,07,11459.0,6995.0,18454.0,802.3478260869565
11050640,자양1동,07,12113.0,7624.0,19737.0,858.1304347826087
11050650,자양2동,07,11999.0,7918.0,19917.0,865.9565217391304
11050660,자양3동,07,15781.0,11947.0,27728.0,1205.5652173913043
11050670,자양4동,07,15089.0,12515.0,27604.0,1200.1739130434783
11060710,회기동,07,10581.0,7456.0,18037.0,784.2173913043479
11060720,휘경1동,07,20242.0,16369.0,36611.0,1591.7826086956522
11060730,휘경2동,07,21327.0,13245.0,34572.0,1503.1304347826087
11060800,청량리동,07,24534.0,17944.0,42478.0,1846.8695652173913
11060810,용신동,07,84066.0,49467.0,133533.0,5805.782608695652
11060820,제기동,07,38572.0,26018.0,64590.0,2808.2608695652175
11060830,전농1동,07,50116.0,39155.0,89271.0,3881.3478260869565
11060840,전농2동,07,13884.0,9800.0,23684.0,1029.7391304347825
11060860,답십리2동,07,22862.0,16129.0,38991.0,1695.2608695652175
11060870,장안1동,07,52316.0,39454.0,91770.0,3990.0
11060880,장안2동,07,26839.0,21085.0,47924.0,2083.6521739130435
11060890,이문1동,07,12350.0,9056.0,21406.0,930.695652173913
11060900,이문2동,07,7767.0,5498.0,13265.0,576.7391304347826
11060910,답십리1동,07,15821.0,10101.0,25922.0,1127.0434782608695
11070520,면목2동,07,10193.0,8328.0,18521.0,805.2608695652174
11070540,면목4동,07,8899.0,8263.0,17162.0,746.1739130434783
11070550,면목5동,07,7432.0,6381.0,13813.0,600.5652173913044
11070570,면목7동,07,12567.0,10962.0,23529.0,1023.0
11070590,상봉1동,07,4971.0,3063.0,8034.0,349.30434782608694
11070600,상봉2동,07,39843.0,34368.0,74211.0,3226.5652173913045
11070610,중화1동,07,6671.0,5594.0,12265.0,533.2608695652174
11070620,중화2동,07,21902.0,17921.0,39823.0,1731.4347826086957
11070640,묵1동,07,14764.0,13391.0,28155.0,1224.1304347826087
11070650,묵2동,07,4826.0,3487.0,8313.0,361.4347826086956
11070680,망우3동,07,6453.0,5755.0,12208.0,530.7826086956521
11070690,신내1동,07,27459.0,16500.0,43959.0,1911.2608695652175
11070700,신내2동,07,25646.0,18825.0,44471.0,1933.5217391304348
11070710,면목본동,07,29072.0,29302.0,58374.0,2538.0
11070720,"면목3,8동",07,20000.0,18428.0,38428.0,1670.7826086956522
11070730,망우본동,07,28935.0,23240.0,52175.0,2268.478260869565
11080580,돈암1동,07,27021.0,22025.0,49046.0,2132.4347826086955
11080590,돈암2동,07,7085.0,4422.0,11507.0,500.30434782608694
11080600,안암동,07,18427.0,11793.0,30220.0,1313.9130434782608
11080610,보문동,07,12949.0,9029.0,21978.0,955.5652173913044
11080620,정릉1동,07,13602.0,10726.0,24328.0,1057.7391304347825
11080630,정릉2동,07,13222.0,9446.0,22668.0,985.5652173913044
11080640,정릉3동,07,11564.0,7041.0,18605.0,808.9130434782609
11080650,정릉4동,07,23136.0,18213.0,41349.0,1797.7826086956522
11080660,길음1동,07,28899.0,23073.0,51972.0,2259.6521739130435
11080680,길음2동,07,23770.0,17232.0,41002.0,1782.695652173913
11080710,월곡1동,07,20511.0,15728.0,36239.0,1575.608695652174
11080720,월곡2동,07,16024.0,13104.0,29128.0,1266.4347826086957
11080760,장위1동,07,9969.0,9343.0,19312.0,839.6521739130435
11080770,장위2동,07,14417.0,14148.0,28565.0,1241.9565217391305
11080780,장위3동,07,9592.0,6974.0,16566.0,720.2608695652174
11080810,성북동,07,24531.0,18497.0,43028.0,1870.7826086956522
11080820,삼선동,07,44094.0,31412.0,75506.0,3282.8695652173915
11080830,동선동,07,37209.0,33429.0,70638.0,3071.217391304348
11080840,종암동,07,31501.0,22361.0,53862.0,2341.8260869565215
11080850,석관동,07,26377.0,24098.0,50475.0,2194.5652173913045
11090600,번1동,07,54283.0,44655.0,98938.0,4301.652173913043
11090610,번2동,07,13579.0,9033.0,22612.0,983.1304347826087
11090620,번3동,07,10068.0,6364.0,16432.0,714.4347826086956
11090630,수유1동,07,16725.0,12649.0,29374.0,1277.1304347826087
11090640,수유2동,07,10931.0,8756.0,19687.0,855.9565217391304
