행정동_ID,행정동_명칭,월,버스_승객_수_07시,버스_승객_수_08시,출근_시간_버스_승객_수,출근_시간_평일_일평균_승객수
11010530,사직동,05,24473.0,33087.0,57560.0,2502.608695652174
11010540,삼청동,05,2448.0,3373.0,5821.0,253.08695652173913
11010550,부암동,05,14930.0,17212.0,32142.0,1397.4782608695652
11010560,평창동,05,17738.0,15574.0,33312.0,1448.3478260869565
11010570,무악동,05,1484.0,1843.0,3327.0,144.65217391304347
11010580,교남동,05,11903.0,12852.0,24755.0,1076.304347826087
11010600,가회동,05,3670.0,4391.0,8061.0,350.4782608695652
11010610,"종로1,2,3,4가동",05,40410.0,69394.0,109804.0,4774.086956521739
11010630,"종로5,6가동",05,7013.0,12211.0,19224.0,835.8260869565217
11010640,이화동,05,16687.0,26621.0,43308.0,1882.9565217391305
11010670,창신1동,05,8687.0,13329.0,22016.0,957.2173913043479
11010680,창신2동,05,198.0,237.0,435.0,18.91304347826087
11010690,창신3동,05,2700.0,2846.0,5546.0,241.1304347826087
11010700,숭인1동,05,4631.0,7776.0,12407.0,539.4347826086956
11010710,숭인2동,05,8300.0,12202.0,20502.0,891.3913043478261
11010720,청운효자동,05,9788.0,11442.0,21230.0,923.0434782608696
11010730,혜화동,05,20325.0,25922.0,46247.0,2010.7391304347825
11020520,소공동,05,13315.0,23576.0,36891.0,1603.9565217391305
11020540,회현동,05,25716.0,41420.0,67136.0,2918.9565217391305
11020550,명동,05,22391.0,31950.0,54341.0,2362.6521739130435
11020570,필동,05,4727.0,8110.0,12837.0,558.1304347826087
11020580,장충동,05,2603.0,5539.0,8142.0,354.0
11020590,광희동,05,8521.0,13902.0,22423.0,974.9130434782609
11020600,을지로동,05,1665.0,3110.0,4775.0,207.6086956521739
11020650,신당5동,05,4854.0,7940.0,12794.0,556.2608695652174
11020670,황학동,05,5623.0,7643.0,13266.0,576.7826086956521
11020680,중림동,05,7482.0,9723.0,17205.0,748.0434782608696
11020690,신당동,05,5143.0,6462.0,11605.0,504.5652173913044
11020700,다산동,05,7098.0,9033.0,16131.0,701.3478260869565
11020710,약수동,05,6689.0,8678.0,15367.0,668.1304347826087
11020720,청구동,05,2190.0,3227.0,5417.0,235.52173913043478
11020730,동화동,05,2299.0,2197.0,4496.0,195.47826086956522
11030510,후암동,05,12176.0,16092.0,28268.0,1229.0434782608695
11030520,용산2가동,05,16637.0,22795.0,39432.0,1714.4347826086957
11030530,남영동,05,27510.0,39295.0,66805.0,2904.5652173913045
11030570,원효로2동,05,14541.0,16049.0,30590.0,1330.0
11030580,효창동,05,8762.0,13342.0,22104.0,961.0434782608696
11030590,용문동,05,5379.0,5470.0,10849.0,471.69565217391306
11030630,이촌1동,05,7907.0,9005.0,16912.0,735.304347826087
11030640,이촌2동,05,7295.0,6355.0,13650.0,593.4782608695652
11030650,이태원1동,05,5261.0,9965.0,15226.0,662.0
11030660,이태원2동,05,5458.0,7398.0,12856.0,558.9565217391304
11030690,서빙고동,05,10963.0,14570.0,25533.0,1110.1304347826087
11030700,보광동,05,6317.0,8208.0,14525.0,631.5217391304348
11030710,청파동,05,11457.0,16351.0,27808.0,1209.0434782608695
11030720,원효로1동,05,16631.0,22851.0,39482.0,1716.608695652174
11030730,한강로동,05,32137.0,50189.0,82326.0,3579.391304347826
11030740,한남동,05,30651.0,43378.0,74029.0,3218.6521739130435
11040520,왕십리2동,05,8675.0,10027.0,18702.0,813.1304347826087
11040540,마장동,05,9197.0,11158.0,20355.0,885.0
11040550,사근동,05,5596.0,7436.0,13032.0,566.6086956521739
11040560,행당1동,05,14502.0,19029.0,33531.0,1457.8695652173913
11040570,행당2동,05,8708.0,9734.0,18442.0,801.8260869565217
11040580,응봉동,05,10652.0,12551.0,23203.0,1008.8260869565217
11040590,금호1가동,05,9748.0,10122.0,19870.0,863.9130434782609
11040620,금호4가동,05,13529.0,16265.0,29794.0,1295.391304347826
11040650,성수1가1동,05,6054.0,7614.0,13668.0,594.2608695652174
11040660,성수1가2동,05,2663.0,3415.0,6078.0,264.2608695652174
11040670,성수2가1동,05,11918.0,14308.0,26226.0,1140.2608695652175
11040680,성수2가3동,05,5167.0,10786.0,15953.0,693.6086956521739
11040690,송정동,05,6119.0,7500.0,13619.0,592.1304347826087
11040700,용답동,05,10551.0,14000.0,24551.0,1067.4347826086957
11040710,왕십리도선동,05,11549.0,16201.0,27750.0,1206.5217391304348
11040720,"금호2,3가동",05,10529.0,13091.0,23620.0,1026.9565217391305
11040730,옥수동,05,11003.0,14452.0,25455.0,1106.7391304347825
11050530,화양동,05,10463.0,15229.0,25692.0,1117.0434782608695
11050540,군자동,05,15517.0,19135.0,34652.0,1506.608695652174
11050550,중곡1동,05,7865.0,9760.0,17625.0,766.304347826087
11050560,중곡2동,05,10138.0,12238.0,22376.0,972.8695652173913
11050570,중곡3동,05,9459.0,10349.0,19808.0,861.2173913043479
11050580,중곡4동,05,8372.0,8133.0,16505.0,717.6086956521739
11050590,능동,05,10905.0,13925.0,24830.0,1079.5652173913043
11050600,구의1동,05,10401.0,13822.0,24223.0,1053.1739130434783
11050610,구의2동,05,15285.0,18530.0,33815.0,1470.2173913043478
11050620,구의3동,05,6805.0,8768.0,15573.0,677.0869565217391
11050630,광장동,05,11204.0,13286.0,24490.0,1064.7826086956522
11050640,자양1동,05,12018.0,16316.0,28334.0,1231.9130434782608
11050650,자양2동,05,16567.0,20681.0,37248.0,1619.4782608695652
11050660,자양3동,05,9624.0,11631.0,21255.0,924.1304347826087
11050670,자양4동,05,6599.0,8264.0,14863.0,646.2173913043479
11060710,회기동,05,6528.0,9168.0,15696.0,682.4347826086956
11060720,휘경1동,05,20779.0,33150.0,53929.0,2344.7391304347825
11060730,휘경2동,05,20139.0,23637.0,43776.0,1903.304347826087
11060800,청량리동,05,18724.0,24477.0,43201.0,1878.304347826087
11060810,용신동,05,40177.0,57662.0,97839.0,4253.869565217391
11060820,제기동,05,25628.0,34549.0,60177.0,2616.391304347826
11060830,전농1동,05,30232.0,39212.0,69444.0,3019.304347826087
