행정동_ID,행정동_명칭,월,버스_승객_수_18시,버스_승객_수_19시,퇴근_시간_버스_승객_수,퇴근_시간_평일_일평균_승객수
11010530,사직동,05,73833.0,41513.0,115346.0,5015.04347826087
11010540,삼청동,05,11236.0,7075.0,18311.0,796.1304347826087
11010550,부암동,05,21946.0,12720.0,34666.0,1507.2173913043478
11010560,평창동,05,13930.0,9271.0,23201.0,1008.7391304347826
11010570,무악동,05,3767.0,3126.0,6893.0,299.69565217391306
11010580,교남동,05,20904.0,14375.0,35279.0,1533.8695652173913
11010600,가회동,05,4134.0,2321.0,6455.0,280.6521739130435
11010610,"종로1,2,3,4가동",05,152181.0,96575.0,248756.0,10815.478260869566
11010630,"종로5,6가동",05,29254.0,17700.0,46954.0,2041.4782608695652
11010640,이화동,05,26289.0,15288.0,41577.0,1807.695652173913
11010670,창신1동,05,14724.0,11791.0,26515.0,1152.8260869565217
11010680,창신2동,05,215.0,246.0,461.0,20.043478260869566
11010690,창신3동,05,1859.0,1838.0,3697.0,160.7391304347826
11010700,숭인1동,05,12250.0,10502.0,22752.0,989.2173913043479
11010710,숭인2동,05,7882.0,5227.0,13109.0,569.9565217391304
11010720,청운효자동,05,14610.0,8573.0,23183.0,1007.9565217391304
11010730,혜화동,05,30492.0,22644.0,53136.0,2310.2608695652175
11020520,소공동,05,98610.0,53770.0,152380.0,6625.217391304348
11020540,회현동,05,64604.0,44006.0,108610.0,4722.173913043478
11020550,명동,05,49493.0,32694.0,82187.0,3573.3478260869565
11020570,필동,05,12765.0,8445.0,21210.0,922.1739130434783
11020580,장충동,05,10620.0,6999.0,17619.0,766.0434782608696
11020590,광희동,05,24236.0,17732.0,41968.0,1824.695652173913
11020600,을지로동,05,8997.0,5977.0,14974.0,651.0434782608696
11020650,신당5동,05,12296.0,10326.0,22622.0,983.5652173913044
11020670,황학동,05,5135.0,4396.0,9531.0,414.39130434782606
11020680,중림동,05,10908.0,6504.0,17412.0,757.0434782608696
11020690,신당동,05,5718.0,4397.0,10115.0,439.7826086956522
11020700,다산동,05,4983.0,3882.0,8865.0,385.4347826086956
11020710,약수동,05,6055.0,4773.0,10828.0,470.7826086956522
11020720,청구동,05,4989.0,4457.0,9446.0,410.69565217391306
11020730,동화동,05,1789.0,1572.0,3361.0,146.1304347826087
11030510,후암동,05,8038.0,6722.0,14760.0,641.7391304347826
11030520,용산2가동,05,21025.0,19033.0,40058.0,1741.6521739130435
11030530,남영동,05,37180.0,26279.0,63459.0,2759.086956521739
11030570,원효로2동,05,11950.0,5641.0,17591.0,764.8260869565217
11030580,효창동,05,6032.0,4031.0,10063.0,437.5217391304348
11030590,용문동,05,5063.0,3846.0,8909.0,387.3478260869565
11030630,이촌1동,05,10652.0,9407.0,20059.0,872.1304347826087
