행정동_ID,행정동_명칭,월,버스_승객_수_18시,버스_승객_수_19시,퇴근_시간_버스_승객_수,퇴근_시간_평일_일평균_승객수
11010530,사직동,09,69702.0,41391.0,111093.0,5290.142857142857
11010540,삼청동,09,4701.0,2786.0,7487.0,356.5238095238095
11010550,부암동,09,21378.0,12319.0,33697.0,1604.6190476190477
11010560,평창동,09,13314.0,7978.0,21292.0,1013.9047619047619
11010570,무악동,09,4788.0,3381.0,8169.0,389.0
11010580,교남동,09,34070.0,20203.0,54273.0,2584.4285714285716
11010600,가회동,09,4708.0,2390.0,7098.0,338.0
11010610,"종로1,2,3,4가동",09,87021.0,58345.0,145366.0,6922.190476190476
11010630,"종로5,6가동",09,35915.0,21479.0,57394.0,2733.0476190476193
11010640,이화동,09,32287.0,20292.0,52579.0,2503.7619047619046
11010670,창신1동,09,20053.0,15844.0,35897.0,1709.3809523809523
11010680,창신2동,09,268.0,236.0,504.0,24.0
11010690,창신3동,09,2117.0,1949.0,4066.0,193.61904761904762
11010700,숭인1동,09,3518.0,2956.0,6474.0,308.2857142857143
11010710,숭인2동,09,33164.0,21843.0,55007.0,2619.3809523809523
11010720,청운효자동,09,11433.0,6632.0,18065.0,860.2380952380952
11010730,혜화동,09,27832.0,20645.0,48477.0,2308.4285714285716
11020520,소공동,09,110043.0,61617.0,171660.0,8174.285714285715
11020540,회현동,09,55917.0,38697.0,94614.0,4505.428571428572
11020550,명동,09,93364.0,66796.0,160160.0,7626.666666666667
11020570,필동,09,17407.0,16322.0,33729.0,1606.142857142857
11020580,장충동,09,11010.0,7553.0,18563.0,883.952380952381
11020590,광희동,09,25300.0,18332.0,43632.0,2077.714285714286
11020600,을지로동,09,28969.0,18841.0,47810.0,2276.6666666666665
11020650,신당5동,09,13761.0,11360.0,25121.0,1196.2380952380952
11020670,황학동,09,7713.0,6348.0,14061.0,669.5714285714286
11020680,중림동,09,24903.0,14805.0,39708.0,1890.857142857143
11020690,신당동,09,4855.0,4063.0,8918.0,424.6666666666667
11020700,다산동,09,8450.0,6833.0,15283.0,727.7619047619048
11020710,약수동,09,6184.0,4935.0,11119.0,529.4761904761905
11020720,청구동,09,2126.0,1759.0,3885.0,185.0
11020730,동화동,09,3614.0,3071.0,6685.0,318.3333333333333
11030510,후암동,09,8433.0,6826.0,15259.0,726.6190476190476
11030520,용산2가동,09,11973.0,10745.0,22718.0,1081.8095238095239
11030530,남영동,09,45036.0,32792.0,77828.0,3706.095238095238
11030570,원효로2동,09,15856.0,6946.0,22802.0,1085.8095238095239
11030580,효창동,09,14125.0,10475.0,24600.0,1171.4285714285713
11030590,용문동,09,12328.0,9929.0,22257.0,1059.857142857143
11030630,이촌1동,09,8794.0,6530.0,15324.0,729.7142857142857
11030640,이촌2동,09,18752.0,13830.0,32582.0,1551.5238095238096
11030650,이태원1동,09,11416.0,9424.0,20840.0,992.3809523809524
11030660,이태원2동,09,8520.0,6958.0,15478.0,737.047619047619
11030690,서빙고동,09,10866.0,7723.0,18589.0,885.1904761904761
11030700,보광동,09,5557.0,3856.0,9413.0,448.23809523809524
11030710,청파동,09,6628.0,4860.0,11488.0,547.047619047619
11030720,원효로1동,09,26691.0,16671.0,43362.0,2064.8571428571427
11030730,한강로동,09,41001.0,30999.0,72000.0,3428.5714285714284
11030740,한남동,09,50366.0,36087.0,86453.0,4116.809523809524
11040520,왕십리2동,09,3734.0,3409.0,7143.0,340.14285714285717
11040540,마장동,09,10859.0,8041.0,18900.0,900.0
11040550,사근동,09,12095.0,9469.0,21564.0,1026.857142857143
11040560,행당1동,09,29324.0,25954.0,55278.0,2632.285714285714
11040570,행당2동,09,11112.0,8801.0,19913.0,948.2380952380952
11040580,응봉동,09,4357.0,3159.0,7516.0,357.9047619047619
11040590,금호1가동,09,7428.0,5757.0,13185.0,627.8571428571429
11040620,금호4가동,09,9130.0,7236.0,16366.0,779.3333333333334
11040650,성수1가1동,09,9743.0,7196.0,16939.0,806.6190476190476
11040660,성수1가2동,09,11520.0,9173.0,20693.0,985.3809523809524
11040670,성수2가1동,09,8537.0,5765.0,14302.0,681.047619047619
11040680,성수2가3동,09,15572.0,10496.0,26068.0,1241.3333333333333
11040690,송정동,09,5106.0,2644.0,7750.0,369.04761904761904
11040700,용답동,09,29072.0,20213.0,49285.0,2346.904761904762
11040710,왕십리도선동,09,13578.0,10385.0,23963.0,1141.095238095238
11040720,"금호2,3가동",09,10143.0,8060.0,18203.0,866.8095238095239
11040730,옥수동,09,12827.0,10224.0,23051.0,1097.6666666666667
11050530,화양동,09,41181.0,34081.0,75262.0,3583.904761904762
11050540,군자동,09,12235.0,9938.0,22173.0,1055.857142857143
11050550,중곡1동,09,8762.0,7073.0,15835.0,754.047619047619
11050560,중곡2동,09,15992.0,12831.0,28823.0,1372.5238095238096
11050570,중곡3동,09,7876.0,7031.0,14907.0,709.8571428571429
11050580,중곡4동,09,3872.0,3114.0,6986.0,332.6666666666667
11050590,능동,09,6174.0,4580.0,10754.0,512.0952380952381
11050600,구의1동,09,15891.0,10685.0,26576.0,1265.5238095238096
11050610,구의2동,09,12435.0,9005.0,21440.0,1020.952380952381
11050620,구의3동,09,17449.0,13491.0,30940.0,1473.3333333333333
11050630,광장동,09,9395.0,6133.0,15528.0,739.4285714285714
11050640,자양1동,09,12728.0,9386.0,22114.0,1053.047619047619
11050650,자양2동,09,11484.0,7773.0,19257.0,917.0
11050660,자양3동,09,8913.0,7371.0,16284.0,775.4285714285714
11050670,자양4동,09,5424.0,4769.0,10193.0,485.3809523809524
11060710,회기동,09,13751.0,9303.0,23054.0,1097.8095238095239
11060720,휘경1동,09,28572.0,19819.0,48391.0,2304.3333333333335
11060730,휘경2동,09,14753.0,10111.0,24864.0,1184.0
11060800,청량리동,09,6877.0,3908.0,10785.0,513.5714285714286
11060810,용신동,09,48348.0,28809.0,77157.0,3674.1428571428573
11060820,제기동,09,25078.0,17494.0,42572.0,2027.2380952380952
11060830,전농1동,09,32091.0,23489.0,55580.0,2646.6666666666665
11060840,전농2동,09,45387.0,35113.0,80500.0,3833.3333333333335
11060860,답십리2동,09,11958.0,8685.0,20643.0,983.0
11060870,장안1동,09,35867.0,27432.0,63299.0,3014.2380952380954
11060880,장안2동,09,22851.0,18502.0,41353.0,1969.1904761904761
11060890,이문1동,09,4185.0,3201.0,7386.0,351.7142857142857
11060900,이문2동,09,16609.0,11926.0,28535.0,1358.8095238095239
11060910,답십리1동,09,13279.0,8566.0,21845.0,1040.2380952380952
11070520,면목2동,09,8661.0,7168.0,15829.0,753.7619047619048
11070540,면목4동,09,8330.0,7897.0,16227.0,772.7142857142857
11070550,면목5동,09,9447.0,8037.0,17484.0,832.5714285714286
11070570,면목7동,09,22548.0,20837.0,43385.0,2065.9523809523807
11070590,상봉1동,09,18606.0,15000.0,33606.0,1600.2857142857142
11070600,상봉2동,09,20733.0,18011.0,38744.0,1844.952380952381
11070610,중화1동,09,18113.0,15139.0,33252.0,1583.4285714285713
11070620,중화2동,09,14401.0,10936.0,25337.0,1206.5238095238096
11070640,묵1동,09,15374.0,13106.0,28480.0,1356.1904761904761
11070650,묵2동,09,14746.0,13140.0,27886.0,1327.904761904762
