행정동_ID,행정동_명칭,월,버스_승객_수_07시,버스_승객_수_08시,출근_시간_버스_승객_수,출근_시간_평일_일평균_승객수
11010530,사직동,04,27308.0,36410.0,63718.0,2896.2727272727275
11010540,삼청동,04,2827.0,4076.0,6903.0,313.77272727272725
11010550,부암동,04,16621.0,18978.0,35599.0,1618.1363636363637
11010560,평창동,04,20053.0,17469.0,37522.0,1705.5454545454545
11010570,무악동,04,1745.0,2123.0,3868.0,175.8181818181818
11010580,교남동,04,13312.0,14332.0,27644.0,1256.5454545454545
11010600,가회동,04,4187.0,4932.0,9119.0,414.5
11010610,"종로1,2,3,4가동",04,45517.0,77282.0,122799.0,5581.772727272727
11010630,"종로5,6가동",04,7888.0,13451.0,21339.0,969.9545454545455
11010640,이화동,04,18728.0,30386.0,49114.0,2232.4545454545455
11010670,창신1동,04,8988.0,14598.0,23586.0,1072.090909090909
11010680,창신2동,04,214.0,275.0,489.0,22.227272727272727
11010690,창신3동,04,3051.0,3119.0,6170.0,280.45454545454544
11010700,숭인1동,04,5334.0,8848.0,14182.0,644.6363636363636
11010710,숭인2동,04,9054.0,13272.0,22326.0,1014.8181818181819
11010720,청운효자동,04,11157.0,12745.0,23902.0,1086.4545454545455
11010730,혜화동,04,23111.0,28886.0,51997.0,2363.5
11020520,소공동,04,15118.0,26219.0,41337.0,1878.9545454545455
11020540,회현동,04,28792.0,45404.0,74196.0,3372.5454545454545
11020550,명동,04,25120.0,35816.0,60936.0,2769.818181818182
11020570,필동,04,5402.0,9366.0,14768.0,671.2727272727273
11020580,장충동,04,2901.0,6367.0,9268.0,421.27272727272725
11020590,광희동,04,9198.0,15526.0,24724.0,1123.8181818181818
11020600,을지로동,04,1986.0,3284.0,5270.0,239.54545454545453
11020650,신당5동,04,5480.0,8842.0,14322.0,651.0
11020670,황학동,04,6650.0,8436.0,15086.0,685.7272727272727
11020680,중림동,04,8289.0,11042.0,19331.0,878.6818181818181
11020690,신당동,04,5587.0,7056.0,12643.0,574.6818181818181
11020700,다산동,04,7790.0,10125.0,17915.0,814.3181818181819
11020710,약수동,04,7752.0,9296.0,17048.0,774.9090909090909
11020720,청구동,04,2439.0,3306.0,5745.0,261.1363636363636
11020730,동화동,04,2696.0,2344.0,5040.0,229.0909090909091
11030510,후암동,04,13781.0,18098.0,31879.0,1449.0454545454545
11030520,용산2가동,04,18712.0,25791.0,44503.0,2022.8636363636363
11030530,남영동,04,31248.0,44269.0,75517.0,3432.590909090909
11030570,원효로2동,04,16582.0,18580.0,35162.0,1598.2727272727273
11030580,효창동,04,10011.0,15479.0,25490.0,1158.6363636363637
11030590,용문동,04,6130.0,6326.0,12456.0,566.1818181818181
11030630,이촌1동,04,8975.0,10367.0,19342.0,879.1818181818181
11030640,이촌2동,04,7978.0,7355.0,15333.0,696.9545454545455
11030650,이태원1동,04,5809.0,11125.0,16934.0,769.7272727272727
11030660,이태원2동,04,6187.0,8394.0,14581.0,662.7727272727273
11030690,서빙고동,04,12315.0,16310.0,28625.0,1301.1363636363637
11030700,보광동,04,7579.0,10303.0,17882.0,812.8181818181819
11030710,청파동,04,13130.0,18252.0,31382.0,1426.4545454545455
11030720,원효로1동,04,19117.0,26508.0,45625.0,2073.8636363636365
11030730,한강로동,04,35845.0,57242.0,93087.0,4231.227272727273
